,date,location,new_cases,new_deaths,total_cases,total_deaths
183,2020-03-03,Andorra,1,0,1,0
184,2020-03-14,Andorra,1,0,2,0
185,2020-03-16,Andorra,3,0,5,0
186,2020-03-17,Andorra,9,0,14,0
187,2020-03-18,Andorra,0,0,14,0
188,2020-03-19,Andorra,39,0,53,0
189,2020-03-20,Andorra,22,0,75,0
190,2020-03-21,Andorra,0,0,75,0
191,2020-03-22,Andorra,13,0,88,0
192,2020-03-23,Andorra,25,0,113,0
193,2020-03-24,Andorra,20,0,133,0
194,2020-03-25,Andorra,31,0,164,0
195,2020-03-26,Andorra,24,0,188,0
196,2020-03-27,Andorra,36,3,224,3
197,2020-03-28,Andorra,43,0,267,3
