,date,location,new_cases,new_deaths,total_cases,total_deaths
216,2020-03-04,Argentina,1,0,1,0
217,2020-03-06,Argentina,1,0,2,0
218,2020-03-07,Argentina,6,0,8,0
219,2020-03-08,Argentina,1,1,9,1
220,2020-03-09,Argentina,3,0,12,1
221,2020-03-11,Argentina,7,0,19,1
222,2020-03-13,Argentina,12,0,31,1
223,2020-03-14,Argentina,3,1,34,2
224,2020-03-15,Argentina,11,0,45,2
225,2020-03-16,Argentina,11,0,56,2
226,2020-03-17,Argentina,9,0,65,2
227,2020-03-18,Argentina,14,0,79,2
228,2020-03-19,Argentina,18,0,97,2
229,2020-03-20,Argentina,31,1,128,3
230,2020-03-21,Argentina,30,0,158,3
231,2020-03-22,Argentina,67,1,225,4
232,2020-03-23,Argentina,41,0,266,4
233,2020-03-24,Argentina,35,0,301,4
234,2020-03-25,Argentina,86,2,387,6
235,2020-03-26,Argentina,115,2,502,8
236,2020-03-27,Argentina,87,4,589,12
237,2020-03-28,Argentina,101,105,690,117
