,date,location,new_cases,new_deaths,total_cases,total_deaths
325,2019-12-31,Australia,0,0,0,0
326,2020-01-01,Australia,0,0,0,0
327,2020-01-02,Australia,0,0,0,0
328,2020-01-03,Australia,0,0,0,0
329,2020-01-04,Australia,0,0,0,0
330,2020-01-05,Australia,0,0,0,0
331,2020-01-06,Australia,0,0,0,0
332,2020-01-07,Australia,0,0,0,0
333,2020-01-08,Australia,0,0,0,0
334,2020-01-09,Australia,0,0,0,0
335,2020-01-10,Australia,0,0,0,0
336,2020-01-11,Australia,0,0,0,0
337,2020-01-12,Australia,0,0,0,0
338,2020-01-13,Australia,0,0,0,0
339,2020-01-14,Australia,0,0,0,0
340,2020-01-15,Australia,0,0,0,0
341,2020-01-16,Australia,0,0,0,0
342,2020-01-17,Australia,0,0,0,0
343,2020-01-18,Australia,0,0,0,0
344,2020-01-19,Australia,0,0,0,0
345,2020-01-20,Australia,0,0,0,0
346,2020-01-21,Australia,0,0,0,0
347,2020-01-22,Australia,0,0,0,0
348,2020-01-23,Australia,0,0,0,0
349,2020-01-24,Australia,0,0,0,0
350,2020-01-25,Australia,1,0,1,0
351,2020-01-26,Australia,3,0,4,0
352,2020-01-27,Australia,0,0,4,0
353,2020-01-28,Australia,0,0,4,0
354,2020-01-29,Australia,0,0,4,0
355,2020-01-30,Australia,2,0,6,0
356,2020-01-31,Australia,1,0,7,0
357,2020-02-01,Australia,2,0,9,0
358,2020-02-02,Australia,2,0,11,0
359,2020-02-03,Australia,0,0,11,0
360,2020-02-04,Australia,0,0,11,0
361,2020-02-05,Australia,1,0,12,0
362,2020-02-06,Australia,1,0,13,0
363,2020-02-07,Australia,1,0,14,0
364,2020-02-08,Australia,0,0,14,0
365,2020-02-09,Australia,0,0,14,0
366,2020-02-10,Australia,0,0,14,0
367,2020-02-11,Australia,0,0,14,0
368,2020-02-12,Australia,0,0,14,0
369,2020-02-13,Australia,0,0,14,0
370,2020-02-14,Australia,1,0,15,0
371,2020-02-15,Australia,0,0,15,0
372,2020-02-16,Australia,0,0,15,0
373,2020-02-17,Australia,0,0,15,0
374,2020-02-18,Australia,0,0,15,0
375,2020-02-19,Australia,0,0,15,0
376,2020-02-20,Australia,0,0,15,0
377,2020-02-21,Australia,2,0,17,0
378,2020-02-22,Australia,4,0,21,0
379,2020-02-23,Australia,1,0,22,0
380,2020-02-24,Australia,0,0,22,0
381,2020-02-25,Australia,0,0,22,0
382,2020-02-26,Australia,0,0,22,0
383,2020-02-27,Australia,1,0,23,0
384,2020-02-28,Australia,0,0,23,0
385,2020-02-29,Australia,2,0,25,0
386,2020-03-01,Australia,1,1,26,1
387,2020-03-02,Australia,3,0,29,1
388,2020-03-03,Australia,4,0,33,1
389,2020-03-04,Australia,8,0,41,1
390,2020-03-05,Australia,11,1,52,2
391,2020-03-06,Australia,7,0,59,2
392,2020-03-07,Australia,4,0,63,2
393,2020-03-08,Australia,11,1,74,3
394,2020-03-09,Australia,6,0,80,3
395,2020-03-10,Australia,20,0,100,3
396,2020-03-11,Australia,12,0,112,3
397,2020-03-12,Australia,14,0,126,3
398,2020-03-13,Australia,30,0,156,3
399,2020-03-14,Australia,41,0,197,3
400,2020-03-15,Australia,52,0,249,3
401,2020-03-16,Australia,49,2,298,5
402,2020-03-17,Australia,77,0,375,5
403,2020-03-18,Australia,79,0,454,5
404,2020-03-19,Australia,111,1,565,6
405,2020-03-20,Australia,144,0,709,6
406,2020-03-21,Australia,165,1,874,7
407,2020-03-22,Australia,224,0,1098,7
408,2020-03-23,Australia,611,0,1709,7
409,2020-03-24,Australia,114,0,1823,7
410,2020-03-25,Australia,600,1,2423,8
411,2020-03-26,Australia,0,0,2423,8
412,2020-03-27,Australia,743,5,3166,13
413,2020-03-28,Australia,212,0,3378,13
