,date,location,new_cases,new_deaths,total_cases,total_deaths
503,2019-12-31,Azerbaijan,0,0,0,0
504,2020-01-01,Azerbaijan,0,0,0,0
505,2020-01-02,Azerbaijan,0,0,0,0
506,2020-01-03,Azerbaijan,0,0,0,0
507,2020-01-04,Azerbaijan,0,0,0,0
508,2020-01-05,Azerbaijan,0,0,0,0
509,2020-01-06,Azerbaijan,0,0,0,0
510,2020-01-07,Azerbaijan,0,0,0,0
511,2020-01-08,Azerbaijan,0,0,0,0
512,2020-01-09,Azerbaijan,0,0,0,0
513,2020-01-10,Azerbaijan,0,0,0,0
514,2020-01-11,Azerbaijan,0,0,0,0
515,2020-01-12,Azerbaijan,0,0,0,0
516,2020-01-13,Azerbaijan,0,0,0,0
517,2020-01-14,Azerbaijan,0,0,0,0
518,2020-01-15,Azerbaijan,0,0,0,0
519,2020-01-16,Azerbaijan,0,0,0,0
520,2020-01-17,Azerbaijan,0,0,0,0
521,2020-01-18,Azerbaijan,0,0,0,0
522,2020-01-19,Azerbaijan,0,0,0,0
523,2020-01-20,Azerbaijan,0,0,0,0
524,2020-01-21,Azerbaijan,0,0,0,0
525,2020-01-22,Azerbaijan,0,0,0,0
526,2020-01-23,Azerbaijan,0,0,0,0
527,2020-01-24,Azerbaijan,0,0,0,0
528,2020-01-25,Azerbaijan,0,0,0,0
529,2020-01-26,Azerbaijan,0,0,0,0
530,2020-01-27,Azerbaijan,0,0,0,0
531,2020-01-28,Azerbaijan,0,0,0,0
532,2020-01-29,Azerbaijan,0,0,0,0
533,2020-01-30,Azerbaijan,0,0,0,0
534,2020-01-31,Azerbaijan,0,0,0,0
535,2020-02-01,Azerbaijan,0,0,0,0
536,2020-02-02,Azerbaijan,0,0,0,0
537,2020-02-03,Azerbaijan,0,0,0,0
538,2020-02-04,Azerbaijan,0,0,0,0
539,2020-02-05,Azerbaijan,0,0,0,0
540,2020-02-06,Azerbaijan,0,0,0,0
541,2020-02-07,Azerbaijan,0,0,0,0
542,2020-02-08,Azerbaijan,0,0,0,0
543,2020-02-09,Azerbaijan,0,0,0,0
544,2020-02-10,Azerbaijan,0,0,0,0
545,2020-02-11,Azerbaijan,0,0,0,0
546,2020-02-12,Azerbaijan,0,0,0,0
547,2020-02-13,Azerbaijan,0,0,0,0
548,2020-02-14,Azerbaijan,0,0,0,0
549,2020-02-15,Azerbaijan,0,0,0,0
550,2020-02-16,Azerbaijan,0,0,0,0
551,2020-02-17,Azerbaijan,0,0,0,0
552,2020-02-18,Azerbaijan,0,0,0,0
553,2020-02-19,Azerbaijan,0,0,0,0
554,2020-02-20,Azerbaijan,0,0,0,0
555,2020-02-21,Azerbaijan,0,0,0,0
556,2020-02-22,Azerbaijan,0,0,0,0
557,2020-02-23,Azerbaijan,0,0,0,0
558,2020-02-24,Azerbaijan,0,0,0,0
559,2020-02-25,Azerbaijan,0,0,0,0
560,2020-02-26,Azerbaijan,0,0,0,0
561,2020-02-27,Azerbaijan,0,0,0,0
562,2020-02-28,Azerbaijan,0,0,0,0
563,2020-02-29,Azerbaijan,1,0,1,0
564,2020-03-01,Azerbaijan,0,0,1,0
565,2020-03-02,Azerbaijan,2,0,3,0
566,2020-03-06,Azerbaijan,3,0,6,0
567,2020-03-07,Azerbaijan,3,0,9,0
568,2020-03-11,Azerbaijan,2,0,11,0
569,2020-03-12,Azerbaijan,2,0,13,0
570,2020-03-13,Azerbaijan,0,0,13,0
571,2020-03-15,Azerbaijan,6,0,19,0
572,2020-03-16,Azerbaijan,0,0,19,0
573,2020-03-17,Azerbaijan,0,0,19,0
574,2020-03-18,Azerbaijan,9,0,28,0
575,2020-03-19,Azerbaijan,6,0,34,0
576,2020-03-20,Azerbaijan,10,0,44,0
577,2020-03-21,Azerbaijan,0,1,44,1
578,2020-03-22,Azerbaijan,9,0,53,1
579,2020-03-23,Azerbaijan,12,0,65,1
580,2020-03-24,Azerbaijan,7,0,72,1
581,2020-03-25,Azerbaijan,15,0,87,1
582,2020-03-26,Azerbaijan,6,1,93,2
583,2020-03-27,Azerbaijan,29,1,122,3
584,2020-03-28,Azerbaijan,43,0,165,3
