,date,location,new_cases,new_deaths,total_cases,total_deaths
596,2019-12-31,Bahrain,0,0,0,0
597,2020-01-01,Bahrain,0,0,0,0
598,2020-01-02,Bahrain,0,0,0,0
599,2020-01-03,Bahrain,0,0,0,0
600,2020-01-04,Bahrain,0,0,0,0
601,2020-01-05,Bahrain,0,0,0,0
602,2020-01-06,Bahrain,0,0,0,0
603,2020-01-07,Bahrain,0,0,0,0
604,2020-01-08,Bahrain,0,0,0,0
605,2020-01-09,Bahrain,0,0,0,0
606,2020-01-10,Bahrain,0,0,0,0
607,2020-01-11,Bahrain,0,0,0,0
608,2020-01-12,Bahrain,0,0,0,0
609,2020-01-13,Bahrain,0,0,0,0
610,2020-01-14,Bahrain,0,0,0,0
611,2020-01-15,Bahrain,0,0,0,0
612,2020-01-16,Bahrain,0,0,0,0
613,2020-01-17,Bahrain,0,0,0,0
614,2020-01-18,Bahrain,0,0,0,0
615,2020-01-19,Bahrain,0,0,0,0
616,2020-01-20,Bahrain,0,0,0,0
617,2020-01-21,Bahrain,0,0,0,0
618,2020-01-22,Bahrain,0,0,0,0
619,2020-01-23,Bahrain,0,0,0,0
620,2020-01-24,Bahrain,0,0,0,0
621,2020-01-25,Bahrain,0,0,0,0
622,2020-01-26,Bahrain,0,0,0,0
623,2020-01-27,Bahrain,0,0,0,0
624,2020-01-28,Bahrain,0,0,0,0
625,2020-01-29,Bahrain,0,0,0,0
626,2020-01-30,Bahrain,0,0,0,0
627,2020-01-31,Bahrain,0,0,0,0
628,2020-02-01,Bahrain,0,0,0,0
629,2020-02-02,Bahrain,0,0,0,0
630,2020-02-03,Bahrain,0,0,0,0
631,2020-02-04,Bahrain,0,0,0,0
632,2020-02-05,Bahrain,0,0,0,0
633,2020-02-06,Bahrain,0,0,0,0
634,2020-02-07,Bahrain,0,0,0,0
635,2020-02-08,Bahrain,0,0,0,0
636,2020-02-09,Bahrain,0,0,0,0
637,2020-02-10,Bahrain,0,0,0,0
638,2020-02-11,Bahrain,0,0,0,0
639,2020-02-12,Bahrain,0,0,0,0
640,2020-02-13,Bahrain,0,0,0,0
641,2020-02-14,Bahrain,0,0,0,0
642,2020-02-15,Bahrain,0,0,0,0
643,2020-02-16,Bahrain,0,0,0,0
644,2020-02-17,Bahrain,0,0,0,0
645,2020-02-18,Bahrain,0,0,0,0
646,2020-02-19,Bahrain,0,0,0,0
647,2020-02-20,Bahrain,0,0,0,0
648,2020-02-21,Bahrain,0,0,0,0
649,2020-02-22,Bahrain,0,0,0,0
650,2020-02-23,Bahrain,0,0,0,0
651,2020-02-24,Bahrain,1,0,1,0
652,2020-02-25,Bahrain,1,0,2,0
653,2020-02-26,Bahrain,21,0,23,0
654,2020-02-27,Bahrain,10,0,33,0
655,2020-02-28,Bahrain,0,0,33,0
656,2020-02-29,Bahrain,5,0,38,0
657,2020-03-01,Bahrain,3,0,41,0
658,2020-03-02,Bahrain,6,0,47,0
659,2020-03-04,Bahrain,2,0,49,0
660,2020-03-05,Bahrain,3,0,52,0
661,2020-03-06,Bahrain,0,0,52,0
662,2020-03-07,Bahrain,4,0,56,0
663,2020-03-08,Bahrain,7,0,63,0
664,2020-03-09,Bahrain,16,0,79,0
665,2020-03-10,Bahrain,30,0,109,0
666,2020-03-11,Bahrain,1,0,110,0
667,2020-03-12,Bahrain,52,0,162,0
668,2020-03-13,Bahrain,0,0,162,0
669,2020-03-14,Bahrain,48,0,210,0
670,2020-03-15,Bahrain,1,0,211,0
671,2020-03-16,Bahrain,3,0,214,0
672,2020-03-17,Bahrain,7,1,221,1
673,2020-03-18,Bahrain,16,0,237,1
674,2020-03-19,Bahrain,19,0,256,1
675,2020-03-20,Bahrain,13,0,269,1
676,2020-03-21,Bahrain,16,0,285,1
677,2020-03-22,Bahrain,21,0,306,1
678,2020-03-23,Bahrain,28,1,334,2
679,2020-03-24,Bahrain,5,0,339,2
680,2020-03-25,Bahrain,51,1,390,3
681,2020-03-26,Bahrain,29,0,419,3
682,2020-03-27,Bahrain,39,1,458,4
683,2020-03-28,Bahrain,8,0,466,4
