,date,location,new_cases,new_deaths,total_cases,total_deaths
709,2019-12-31,Belarus,0,0,0,0
710,2020-01-01,Belarus,0,0,0,0
711,2020-01-02,Belarus,0,0,0,0
712,2020-01-03,Belarus,0,0,0,0
713,2020-01-04,Belarus,0,0,0,0
714,2020-01-05,Belarus,0,0,0,0
715,2020-01-06,Belarus,0,0,0,0
716,2020-01-07,Belarus,0,0,0,0
717,2020-01-08,Belarus,0,0,0,0
718,2020-01-09,Belarus,0,0,0,0
719,2020-01-10,Belarus,0,0,0,0
720,2020-01-11,Belarus,0,0,0,0
721,2020-01-12,Belarus,0,0,0,0
722,2020-01-13,Belarus,0,0,0,0
723,2020-01-14,Belarus,0,0,0,0
724,2020-01-15,Belarus,0,0,0,0
725,2020-01-16,Belarus,0,0,0,0
726,2020-01-17,Belarus,0,0,0,0
727,2020-01-18,Belarus,0,0,0,0
728,2020-01-19,Belarus,0,0,0,0
729,2020-01-20,Belarus,0,0,0,0
730,2020-01-21,Belarus,0,0,0,0
731,2020-01-22,Belarus,0,0,0,0
732,2020-01-23,Belarus,0,0,0,0
733,2020-01-24,Belarus,0,0,0,0
734,2020-01-25,Belarus,0,0,0,0
735,2020-01-26,Belarus,0,0,0,0
736,2020-01-27,Belarus,0,0,0,0
737,2020-01-28,Belarus,0,0,0,0
738,2020-01-29,Belarus,0,0,0,0
739,2020-01-30,Belarus,0,0,0,0
740,2020-01-31,Belarus,0,0,0,0
741,2020-02-01,Belarus,0,0,0,0
742,2020-02-02,Belarus,0,0,0,0
743,2020-02-03,Belarus,0,0,0,0
744,2020-02-04,Belarus,0,0,0,0
745,2020-02-05,Belarus,0,0,0,0
746,2020-02-06,Belarus,0,0,0,0
747,2020-02-07,Belarus,0,0,0,0
748,2020-02-08,Belarus,0,0,0,0
749,2020-02-09,Belarus,0,0,0,0
750,2020-02-10,Belarus,0,0,0,0
751,2020-02-11,Belarus,0,0,0,0
752,2020-02-12,Belarus,0,0,0,0
753,2020-02-13,Belarus,0,0,0,0
754,2020-02-14,Belarus,0,0,0,0
755,2020-02-15,Belarus,0,0,0,0
756,2020-02-16,Belarus,0,0,0,0
757,2020-02-17,Belarus,0,0,0,0
758,2020-02-18,Belarus,0,0,0,0
759,2020-02-19,Belarus,0,0,0,0
760,2020-02-20,Belarus,0,0,0,0
761,2020-02-21,Belarus,0,0,0,0
762,2020-02-22,Belarus,0,0,0,0
763,2020-02-23,Belarus,0,0,0,0
764,2020-02-24,Belarus,0,0,0,0
765,2020-02-25,Belarus,0,0,0,0
766,2020-02-26,Belarus,0,0,0,0
767,2020-02-27,Belarus,0,0,0,0
768,2020-02-28,Belarus,1,0,1,0
769,2020-02-29,Belarus,0,0,1,0
770,2020-03-01,Belarus,0,0,1,0
771,2020-03-02,Belarus,0,0,1,0
772,2020-03-04,Belarus,3,0,4,0
773,2020-03-05,Belarus,2,0,6,0
774,2020-03-11,Belarus,3,0,9,0
775,2020-03-12,Belarus,3,0,12,0
776,2020-03-13,Belarus,9,0,21,0
777,2020-03-16,Belarus,6,0,27,0
778,2020-03-17,Belarus,9,0,36,0
779,2020-03-18,Belarus,0,0,36,0
780,2020-03-19,Belarus,10,0,46,0
781,2020-03-20,Belarus,11,0,57,0
782,2020-03-21,Belarus,0,0,57,0
783,2020-03-22,Belarus,19,0,76,0
784,2020-03-23,Belarus,0,0,76,0
785,2020-03-24,Belarus,5,0,81,0
786,2020-03-25,Belarus,0,0,81,0
787,2020-03-26,Belarus,5,0,86,0
788,2020-03-27,Belarus,0,0,86,0
789,2020-03-28,Belarus,8,0,94,0
