,date,location,new_cases,new_deaths,total_cases,total_deaths
905,2020-03-06,Bhutan,1,0,1,0
906,2020-03-13,Bhutan,0,0,1,0
907,2020-03-15,Bhutan,0,0,1,0
908,2020-03-17,Bhutan,0,0,1,0
909,2020-03-18,Bhutan,0,0,1,0
910,2020-03-19,Bhutan,0,0,1,0
911,2020-03-20,Bhutan,0,0,1,0
912,2020-03-21,Bhutan,1,0,2,0
913,2020-03-22,Bhutan,0,0,2,0
914,2020-03-23,Bhutan,0,0,2,0
915,2020-03-24,Bhutan,0,0,2,0
916,2020-03-25,Bhutan,0,0,2,0
917,2020-03-26,Bhutan,1,0,3,0
918,2020-03-27,Bhutan,0,0,3,0
919,2020-03-28,Bhutan,0,0,3,0
