,date,location,new_cases,new_deaths,total_cases,total_deaths
936,2020-03-06,Bosnia and Herzegovina,2,0,2,0
937,2020-03-12,Bosnia and Herzegovina,1,0,3,0
938,2020-03-13,Bosnia and Herzegovina,0,0,3,0
939,2020-03-16,Bosnia and Herzegovina,15,0,18,0
940,2020-03-17,Bosnia and Herzegovina,3,0,21,0
941,2020-03-18,Bosnia and Herzegovina,0,0,21,0
942,2020-03-19,Bosnia and Herzegovina,15,0,36,0
943,2020-03-20,Bosnia and Herzegovina,8,0,44,0
944,2020-03-21,Bosnia and Herzegovina,0,0,44,0
945,2020-03-22,Bosnia and Herzegovina,48,1,92,1
946,2020-03-23,Bosnia and Herzegovina,33,0,125,1
947,2020-03-24,Bosnia and Herzegovina,4,0,129,1
948,2020-03-25,Bosnia and Herzegovina,33,1,162,2
949,2020-03-26,Bosnia and Herzegovina,19,1,181,3
950,2020-03-27,Bosnia and Herzegovina,0,0,181,3
951,2020-03-28,Bosnia and Herzegovina,48,0,229,3
