,date,location,new_cases,new_deaths,total_cases,total_deaths
952,2019-12-31,Brazil,0,0,0,0
953,2020-01-01,Brazil,0,0,0,0
954,2020-01-02,Brazil,0,0,0,0
955,2020-01-03,Brazil,0,0,0,0
956,2020-01-04,Brazil,0,0,0,0
957,2020-01-05,Brazil,0,0,0,0
958,2020-01-06,Brazil,0,0,0,0
959,2020-01-07,Brazil,0,0,0,0
960,2020-01-08,Brazil,0,0,0,0
961,2020-01-09,Brazil,0,0,0,0
962,2020-01-10,Brazil,0,0,0,0
963,2020-01-11,Brazil,0,0,0,0
964,2020-01-12,Brazil,0,0,0,0
965,2020-01-13,Brazil,0,0,0,0
966,2020-01-14,Brazil,0,0,0,0
967,2020-01-15,Brazil,0,0,0,0
968,2020-01-16,Brazil,0,0,0,0
969,2020-01-17,Brazil,0,0,0,0
970,2020-01-18,Brazil,0,0,0,0
971,2020-01-19,Brazil,0,0,0,0
972,2020-01-20,Brazil,0,0,0,0
973,2020-01-21,Brazil,0,0,0,0
974,2020-01-22,Brazil,0,0,0,0
975,2020-01-23,Brazil,0,0,0,0
976,2020-01-24,Brazil,0,0,0,0
977,2020-01-25,Brazil,0,0,0,0
978,2020-01-26,Brazil,0,0,0,0
979,2020-01-27,Brazil,0,0,0,0
980,2020-01-28,Brazil,0,0,0,0
981,2020-01-29,Brazil,0,0,0,0
982,2020-01-30,Brazil,0,0,0,0
983,2020-01-31,Brazil,0,0,0,0
984,2020-02-01,Brazil,0,0,0,0
985,2020-02-02,Brazil,0,0,0,0
986,2020-02-03,Brazil,0,0,0,0
987,2020-02-04,Brazil,0,0,0,0
988,2020-02-05,Brazil,0,0,0,0
989,2020-02-06,Brazil,0,0,0,0
990,2020-02-07,Brazil,0,0,0,0
991,2020-02-08,Brazil,0,0,0,0
992,2020-02-09,Brazil,0,0,0,0
993,2020-02-10,Brazil,0,0,0,0
994,2020-02-11,Brazil,0,0,0,0
995,2020-02-12,Brazil,0,0,0,0
996,2020-02-13,Brazil,0,0,0,0
997,2020-02-14,Brazil,0,0,0,0
998,2020-02-15,Brazil,0,0,0,0
999,2020-02-16,Brazil,0,0,0,0
1000,2020-02-17,Brazil,0,0,0,0
1001,2020-02-18,Brazil,0,0,0,0
1002,2020-02-19,Brazil,0,0,0,0
1003,2020-02-20,Brazil,0,0,0,0
1004,2020-02-21,Brazil,0,0,0,0
1005,2020-02-22,Brazil,0,0,0,0
1006,2020-02-23,Brazil,0,0,0,0
1007,2020-02-24,Brazil,0,0,0,0
1008,2020-02-25,Brazil,0,0,0,0
1009,2020-02-26,Brazil,1,0,1,0
1010,2020-02-27,Brazil,0,0,1,0
1011,2020-02-28,Brazil,0,0,1,0
1012,2020-02-29,Brazil,0,0,1,0
1013,2020-03-01,Brazil,1,0,2,0
1014,2020-03-02,Brazil,0,0,2,0
1015,2020-03-05,Brazil,1,0,3,0
1016,2020-03-06,Brazil,5,0,8,0
1017,2020-03-07,Brazil,5,0,13,0
1018,2020-03-08,Brazil,0,0,13,0
1019,2020-03-09,Brazil,12,0,25,0
1020,2020-03-11,Brazil,9,0,34,0
1021,2020-03-12,Brazil,18,0,52,0
1022,2020-03-13,Brazil,25,0,77,0
1023,2020-03-14,Brazil,21,0,98,0
1024,2020-03-15,Brazil,23,0,121,0
1025,2020-03-16,Brazil,79,0,200,0
1026,2020-03-17,Brazil,34,0,234,0
1027,2020-03-18,Brazil,57,1,291,1
1028,2020-03-19,Brazil,137,3,428,4
1029,2020-03-20,Brazil,193,2,621,6
1030,2020-03-21,Brazil,283,5,904,11
1031,2020-03-22,Brazil,224,7,1128,18
1032,2020-03-23,Brazil,418,7,1546,25
1033,2020-03-24,Brazil,345,9,1891,34
1034,2020-03-25,Brazil,310,12,2201,46
1035,2020-03-26,Brazil,232,11,2433,57
1036,2020-03-27,Brazil,482,20,2915,77
1037,2020-03-28,Brazil,502,15,3417,92
