,date,location,new_cases,new_deaths,total_cases,total_deaths
1040,2020-03-10,Brunei,1,0,1,0
1041,2020-03-12,Brunei,10,0,11,0
1042,2020-03-13,Brunei,14,0,25,0
1043,2020-03-14,Brunei,12,0,37,0
1044,2020-03-15,Brunei,3,0,40,0
1045,2020-03-16,Brunei,10,0,50,0
1046,2020-03-17,Brunei,4,0,54,0
1047,2020-03-18,Brunei,2,0,56,0
1048,2020-03-19,Brunei,12,0,68,0
1049,2020-03-20,Brunei,5,0,73,0
1050,2020-03-21,Brunei,5,0,78,0
1051,2020-03-22,Brunei,5,0,83,0
1052,2020-03-23,Brunei,5,0,88,0
1053,2020-03-24,Brunei,3,0,91,0
1054,2020-03-25,Brunei,13,0,104,0
1055,2020-03-26,Brunei,3,0,107,0
1056,2020-03-27,Brunei,7,0,114,0
1057,2020-03-28,Brunei,1,0,115,0
