,date,location,new_cases,new_deaths,total_cases,total_deaths
1077,2020-03-11,Burkina Faso,2,0,2,0
1078,2020-03-12,Burkina Faso,0,0,2,0
1079,2020-03-15,Burkina Faso,1,0,3,0
1080,2020-03-16,Burkina Faso,0,0,3,0
1081,2020-03-17,Burkina Faso,17,0,20,0
1082,2020-03-18,Burkina Faso,0,0,20,0
1083,2020-03-19,Burkina Faso,6,1,26,1
1084,2020-03-20,Burkina Faso,7,0,33,1
1085,2020-03-21,Burkina Faso,7,0,40,1
1086,2020-03-22,Burkina Faso,24,2,64,3
1087,2020-03-23,Burkina Faso,0,0,64,3
1088,2020-03-24,Burkina Faso,11,0,75,3
1089,2020-03-25,Burkina Faso,24,0,99,3
1090,2020-03-26,Burkina Faso,15,0,114,3
1091,2020-03-27,Burkina Faso,32,0,146,3
1092,2020-03-28,Burkina Faso,0,0,146,3
