,date,location,new_cases,new_deaths,total_cases,total_deaths
1093,2019-12-31,Cambodia,0,0,0,0
1094,2020-01-01,Cambodia,0,0,0,0
1095,2020-01-02,Cambodia,0,0,0,0
1096,2020-01-03,Cambodia,0,0,0,0
1097,2020-01-04,Cambodia,0,0,0,0
1098,2020-01-05,Cambodia,0,0,0,0
1099,2020-01-06,Cambodia,0,0,0,0
1100,2020-01-07,Cambodia,0,0,0,0
1101,2020-01-08,Cambodia,0,0,0,0
1102,2020-01-09,Cambodia,0,0,0,0
1103,2020-01-10,Cambodia,0,0,0,0
1104,2020-01-11,Cambodia,0,0,0,0
1105,2020-01-12,Cambodia,0,0,0,0
1106,2020-01-13,Cambodia,0,0,0,0
1107,2020-01-14,Cambodia,0,0,0,0
1108,2020-01-15,Cambodia,0,0,0,0
1109,2020-01-16,Cambodia,0,0,0,0
1110,2020-01-17,Cambodia,0,0,0,0
1111,2020-01-18,Cambodia,0,0,0,0
1112,2020-01-19,Cambodia,0,0,0,0
1113,2020-01-20,Cambodia,0,0,0,0
1114,2020-01-21,Cambodia,0,0,0,0
1115,2020-01-22,Cambodia,0,0,0,0
1116,2020-01-23,Cambodia,0,0,0,0
1117,2020-01-24,Cambodia,0,0,0,0
1118,2020-01-25,Cambodia,0,0,0,0
1119,2020-01-26,Cambodia,0,0,0,0
1120,2020-01-27,Cambodia,0,0,0,0
1121,2020-01-28,Cambodia,1,0,1,0
1122,2020-01-29,Cambodia,0,0,1,0
1123,2020-01-30,Cambodia,0,0,1,0
1124,2020-01-31,Cambodia,0,0,1,0
1125,2020-02-01,Cambodia,0,0,1,0
1126,2020-02-02,Cambodia,0,0,1,0
1127,2020-02-03,Cambodia,0,0,1,0
1128,2020-02-04,Cambodia,0,0,1,0
1129,2020-02-05,Cambodia,0,0,1,0
1130,2020-02-06,Cambodia,0,0,1,0
1131,2020-02-07,Cambodia,0,0,1,0
1132,2020-02-08,Cambodia,0,0,1,0
1133,2020-02-09,Cambodia,0,0,1,0
1134,2020-02-10,Cambodia,0,0,1,0
1135,2020-02-11,Cambodia,0,0,1,0
1136,2020-02-12,Cambodia,0,0,1,0
1137,2020-02-13,Cambodia,0,0,1,0
1138,2020-02-14,Cambodia,0,0,1,0
1139,2020-02-15,Cambodia,0,0,1,0
1140,2020-02-16,Cambodia,0,0,1,0
1141,2020-02-17,Cambodia,0,0,1,0
1142,2020-02-18,Cambodia,0,0,1,0
1143,2020-02-19,Cambodia,0,0,1,0
1144,2020-02-20,Cambodia,0,0,1,0
1145,2020-02-21,Cambodia,0,0,1,0
1146,2020-02-22,Cambodia,0,0,1,0
1147,2020-02-23,Cambodia,0,0,1,0
1148,2020-02-24,Cambodia,0,0,1,0
1149,2020-02-25,Cambodia,0,0,1,0
1150,2020-02-26,Cambodia,0,0,1,0
1151,2020-02-27,Cambodia,0,0,1,0
1152,2020-02-28,Cambodia,0,0,1,0
1153,2020-02-29,Cambodia,0,0,1,0
1154,2020-03-01,Cambodia,0,0,1,0
1155,2020-03-02,Cambodia,0,0,1,0
1156,2020-03-08,Cambodia,1,0,2,0
1157,2020-03-12,Cambodia,1,0,3,0
1158,2020-03-13,Cambodia,2,0,5,0
1159,2020-03-15,Cambodia,2,0,7,0
1160,2020-03-16,Cambodia,5,0,12,0
1161,2020-03-17,Cambodia,12,0,24,0
1162,2020-03-18,Cambodia,0,0,24,0
1163,2020-03-19,Cambodia,0,0,24,0
1164,2020-03-20,Cambodia,0,0,24,0
1165,2020-03-21,Cambodia,23,0,47,0
1166,2020-03-22,Cambodia,4,0,51,0
1167,2020-03-23,Cambodia,35,0,86,0
1168,2020-03-24,Cambodia,1,0,87,0
1169,2020-03-25,Cambodia,4,0,91,0
1170,2020-03-26,Cambodia,5,0,96,0
1171,2020-03-27,Cambodia,2,0,98,0
1172,2020-03-28,Cambodia,4,0,102,0
