,date,location,new_cases,new_deaths,total_cases,total_deaths
1189,2019-12-31,Canada,0,0,0,0
1190,2020-01-01,Canada,0,0,0,0
1191,2020-01-02,Canada,0,0,0,0
1192,2020-01-03,Canada,0,0,0,0
1193,2020-01-04,Canada,0,0,0,0
1194,2020-01-05,Canada,0,0,0,0
1195,2020-01-06,Canada,0,0,0,0
1196,2020-01-07,Canada,0,0,0,0
1197,2020-01-08,Canada,0,0,0,0
1198,2020-01-09,Canada,0,0,0,0
1199,2020-01-10,Canada,0,0,0,0
1200,2020-01-11,Canada,0,0,0,0
1201,2020-01-12,Canada,0,0,0,0
1202,2020-01-13,Canada,0,0,0,0
1203,2020-01-14,Canada,0,0,0,0
1204,2020-01-15,Canada,0,0,0,0
1205,2020-01-16,Canada,0,0,0,0
1206,2020-01-17,Canada,0,0,0,0
1207,2020-01-18,Canada,0,0,0,0
1208,2020-01-19,Canada,0,0,0,0
1209,2020-01-20,Canada,0,0,0,0
1210,2020-01-21,Canada,0,0,0,0
1211,2020-01-22,Canada,0,0,0,0
1212,2020-01-23,Canada,0,0,0,0
1213,2020-01-24,Canada,0,0,0,0
1214,2020-01-25,Canada,0,0,0,0
1215,2020-01-26,Canada,1,0,1,0
1216,2020-01-27,Canada,0,0,1,0
1217,2020-01-28,Canada,1,0,2,0
1218,2020-01-29,Canada,1,0,3,0
1219,2020-01-30,Canada,0,0,3,0
1220,2020-01-31,Canada,0,0,3,0
1221,2020-02-01,Canada,1,0,4,0
1222,2020-02-02,Canada,0,0,4,0
1223,2020-02-03,Canada,0,0,4,0
1224,2020-02-04,Canada,0,0,4,0
1225,2020-02-05,Canada,1,0,5,0
1226,2020-02-06,Canada,0,0,5,0
1227,2020-02-07,Canada,2,0,7,0
1228,2020-02-08,Canada,0,0,7,0
1229,2020-02-09,Canada,0,0,7,0
1230,2020-02-10,Canada,0,0,7,0
1231,2020-02-11,Canada,0,0,7,0
1232,2020-02-12,Canada,0,0,7,0
1233,2020-02-13,Canada,0,0,7,0
1234,2020-02-14,Canada,0,0,7,0
1235,2020-02-15,Canada,1,0,8,0
1236,2020-02-16,Canada,0,0,8,0
1237,2020-02-17,Canada,0,0,8,0
1238,2020-02-18,Canada,0,0,8,0
1239,2020-02-19,Canada,0,0,8,0
1240,2020-02-20,Canada,0,0,8,0
1241,2020-02-21,Canada,1,0,9,0
1242,2020-02-22,Canada,0,0,9,0
1243,2020-02-23,Canada,0,0,9,0
1244,2020-02-24,Canada,0,0,9,0
1245,2020-02-25,Canada,2,0,11,0
1246,2020-02-26,Canada,0,0,11,0
1247,2020-02-27,Canada,1,0,12,0
1248,2020-02-28,Canada,2,0,14,0
1249,2020-02-29,Canada,2,0,16,0
1250,2020-03-01,Canada,4,0,20,0
1251,2020-03-02,Canada,4,0,24,0
1252,2020-03-03,Canada,3,0,27,0
1253,2020-03-04,Canada,3,0,30,0
1254,2020-03-05,Canada,3,0,33,0
1255,2020-03-06,Canada,12,0,45,0
1256,2020-03-07,Canada,6,0,51,0
1257,2020-03-08,Canada,6,0,57,0
1258,2020-03-09,Canada,5,0,62,0
1259,2020-03-10,Canada,15,1,77,1
1260,2020-03-11,Canada,16,0,93,1
1261,2020-03-12,Canada,10,0,103,1
1262,2020-03-13,Canada,35,0,138,1
1263,2020-03-14,Canada,38,0,176,1
1264,2020-03-15,Canada,68,0,244,1
1265,2020-03-16,Canada,60,0,304,1
1266,2020-03-17,Canada,120,3,424,4
1267,2020-03-18,Canada,145,4,569,8
1268,2020-03-19,Canada,121,1,690,9
1269,2020-03-20,Canada,156,1,846,10
1270,2020-03-21,Canada,125,2,971,12
1271,2020-03-22,Canada,260,1,1231,13
1272,2020-03-23,Canada,199,5,1430,18
1273,2020-03-24,Canada,216,6,1646,24
1274,2020-03-25,Canada,313,3,1959,27
1275,2020-03-26,Canada,1426,8,3385,35
1276,2020-03-27,Canada,633,4,4018,39
1277,2020-03-28,Canada,671,14,4689,53
