,date,location,new_cases,new_deaths,total_cases,total_deaths
1317,2020-03-04,Chile,1,0,1,0
1318,2020-03-05,Chile,2,0,3,0
1319,2020-03-06,Chile,1,0,4,0
1320,2020-03-07,Chile,1,0,5,0
1321,2020-03-09,Chile,5,0,10,0
1322,2020-03-10,Chile,3,0,13,0
1323,2020-03-11,Chile,4,0,17,0
1324,2020-03-12,Chile,6,0,23,0
1325,2020-03-13,Chile,10,0,33,0
1326,2020-03-14,Chile,10,0,43,0
1327,2020-03-15,Chile,18,0,61,0
1328,2020-03-16,Chile,14,0,75,0
1329,2020-03-17,Chile,81,0,156,0
1330,2020-03-18,Chile,45,0,201,0
1331,2020-03-19,Chile,37,0,238,0
1332,2020-03-20,Chile,104,0,342,0
1333,2020-03-21,Chile,92,0,434,0
1334,2020-03-22,Chile,103,0,537,0
1335,2020-03-23,Chile,95,1,632,1
1336,2020-03-24,Chile,114,1,746,2
1337,2020-03-25,Chile,176,0,922,2
1338,2020-03-26,Chile,220,1,1142,3
1339,2020-03-27,Chile,164,1,1306,4
1340,2020-03-28,Chile,304,1,1610,5
