,date,location,new_cases,new_deaths,total_cases,total_deaths
1341,2019-12-31,China,27,0,27,0
1342,2020-01-01,China,0,0,27,0
1343,2020-01-02,China,0,0,27,0
1344,2020-01-03,China,17,0,44,0
1345,2020-01-04,China,0,0,44,0
1346,2020-01-05,China,15,0,59,0
1347,2020-01-06,China,0,0,59,0
1348,2020-01-07,China,0,0,59,0
1349,2020-01-08,China,0,0,59,0
1350,2020-01-09,China,0,0,59,0
1351,2020-01-10,China,0,0,59,0
1352,2020-01-11,China,0,1,59,1
1353,2020-01-12,China,0,0,59,1
1354,2020-01-13,China,0,0,59,1
1355,2020-01-14,China,0,0,59,1
1356,2020-01-15,China,0,1,59,2
1357,2020-01-16,China,0,0,59,2
1358,2020-01-17,China,4,0,63,2
1359,2020-01-18,China,17,0,80,2
1360,2020-01-19,China,136,1,216,3
1361,2020-01-20,China,19,0,235,3
1362,2020-01-21,China,151,3,386,6
1363,2020-01-22,China,140,11,526,17
1364,2020-01-23,China,97,0,623,17
1365,2020-01-24,China,259,9,882,26
1366,2020-01-25,China,441,15,1323,41
1367,2020-01-26,China,665,15,1988,56
1368,2020-01-27,China,787,25,2775,81
1369,2020-01-28,China,1753,25,4528,106
1370,2020-01-29,China,1466,26,5994,132
1371,2020-01-30,China,1740,38,7734,170
1372,2020-01-31,China,1980,43,9714,213
1373,2020-02-01,China,2095,46,11809,259
1374,2020-02-02,China,2590,45,14399,304
1375,2020-02-03,China,2812,57,17211,361
1376,2020-02-04,China,3237,65,20448,426
1377,2020-02-05,China,3872,66,24320,492
1378,2020-02-06,China,3727,72,28047,564
1379,2020-02-07,China,3160,73,31207,637
1380,2020-02-08,China,3418,86,34625,723
1381,2020-02-09,China,2607,89,37232,812
1382,2020-02-10,China,2974,97,40206,909
1383,2020-02-11,China,2490,108,42696,1017
1384,2020-02-12,China,2028,97,44724,1114
1385,2020-02-13,China,15141,254,59865,1368
1386,2020-02-14,China,4156,13,64021,1381
1387,2020-02-15,China,2538,143,66559,1524
1388,2020-02-16,China,2007,142,68566,1666
1389,2020-02-17,China,2052,105,70618,1771
1390,2020-02-18,China,1890,98,72508,1869
1391,2020-02-19,China,1750,139,74258,2008
1392,2020-02-20,China,394,112,74652,2120
1393,2020-02-21,China,891,118,75543,2238
1394,2020-02-22,China,826,109,76369,2347
1395,2020-02-23,China,647,98,77016,2445
1396,2020-02-24,China,218,150,77234,2595
1397,2020-02-25,China,515,70,77749,2665
1398,2020-02-26,China,410,52,78159,2717
1399,2020-02-27,China,439,29,78598,2746
1400,2020-02-28,China,329,44,78927,2790
1401,2020-02-29,China,428,47,79355,2837
1402,2020-03-01,China,574,35,79929,2872
1403,2020-03-02,China,205,42,80134,2914
1404,2020-03-03,China,127,32,80261,2946
1405,2020-03-04,China,119,37,80380,2983
1406,2020-03-05,China,117,31,80497,3014
1407,2020-03-06,China,170,30,80667,3044
1408,2020-03-07,China,101,28,80768,3072
1409,2020-03-08,China,46,27,80814,3099
1410,2020-03-09,China,45,23,80859,3122
1411,2020-03-10,China,20,17,80879,3139
1412,2020-03-11,China,29,22,80908,3161
1413,2020-03-12,China,24,11,80932,3172
1414,2020-03-13,China,22,7,80954,3179
1415,2020-03-14,China,19,15,80973,3194
1416,2020-03-15,China,22,9,80995,3203
1417,2020-03-16,China,25,14,81020,3217
1418,2020-03-17,China,110,9,81130,3226
1419,2020-03-18,China,33,16,81163,3242
1420,2020-03-19,China,75,8,81238,3250
1421,2020-03-20,China,99,4,81337,3254
1422,2020-03-21,China,79,7,81416,3261
1423,2020-03-22,China,83,6,81499,3267
1424,2020-03-23,China,150,9,81649,3276
1425,2020-03-24,China,99,7,81748,3283
1426,2020-03-25,China,99,4,81847,3287
1427,2020-03-26,China,121,6,81968,3293
1428,2020-03-27,China,111,5,82079,3298
1429,2020-03-28,China,134,3,82213,3301
