,date,location,new_cases,new_deaths,total_cases,total_deaths
1430,2020-03-07,Colombia,1,0,1,0
1431,2020-03-10,Colombia,2,0,3,0
1432,2020-03-12,Colombia,6,0,9,0
1433,2020-03-14,Colombia,7,0,16,0
1434,2020-03-15,Colombia,18,0,34,0
1435,2020-03-16,Colombia,11,0,45,0
1436,2020-03-17,Colombia,12,0,57,0
1437,2020-03-18,Colombia,8,0,65,0
1438,2020-03-19,Colombia,37,0,102,0
1439,2020-03-20,Colombia,26,0,128,0
1440,2020-03-21,Colombia,30,0,158,0
1441,2020-03-22,Colombia,52,1,210,1
1442,2020-03-23,Colombia,25,1,235,2
1443,2020-03-24,Colombia,71,1,306,3
1444,2020-03-25,Colombia,72,0,378,3
1445,2020-03-26,Colombia,92,1,470,4
1446,2020-03-27,Colombia,21,2,491,6
1447,2020-03-28,Colombia,48,0,539,6
