,date,location,new_cases,new_deaths,total_cases,total_deaths
1461,2020-03-07,Costa Rica,1,0,1,0
1462,2020-03-09,Costa Rica,4,0,5,0
1463,2020-03-10,Costa Rica,4,0,9,0
1464,2020-03-11,Costa Rica,4,0,13,0
1465,2020-03-12,Costa Rica,9,0,22,0
1466,2020-03-13,Costa Rica,1,0,23,0
1467,2020-03-14,Costa Rica,3,0,26,0
1468,2020-03-15,Costa Rica,1,0,27,0
1469,2020-03-16,Costa Rica,8,0,35,0
1470,2020-03-17,Costa Rica,6,0,41,0
1471,2020-03-18,Costa Rica,9,0,50,0
1472,2020-03-19,Costa Rica,19,1,69,1
1473,2020-03-20,Costa Rica,18,0,87,1
1474,2020-03-21,Costa Rica,26,1,113,2
1475,2020-03-22,Costa Rica,4,0,117,2
1476,2020-03-23,Costa Rica,17,0,134,2
1477,2020-03-24,Costa Rica,24,0,158,2
1478,2020-03-25,Costa Rica,19,0,177,2
1479,2020-03-26,Costa Rica,24,0,201,2
1480,2020-03-27,Costa Rica,30,0,231,2
1481,2020-03-28,Costa Rica,32,0,263,2
