,date,location,new_cases,new_deaths,total_cases,total_deaths
1603,2020-03-10,Cyprus,2,0,2,0
1604,2020-03-12,Cyprus,4,0,6,0
1605,2020-03-14,Cyprus,8,0,14,0
1606,2020-03-15,Cyprus,7,0,21,0
1607,2020-03-16,Cyprus,9,0,30,0
1608,2020-03-17,Cyprus,10,0,40,0
1609,2020-03-18,Cyprus,0,0,40,0
1610,2020-03-19,Cyprus,18,0,58,0
1611,2020-03-20,Cyprus,0,0,58,0
1612,2020-03-21,Cyprus,9,0,67,0
1613,2020-03-22,Cyprus,17,0,84,0
1614,2020-03-23,Cyprus,11,0,95,0
1615,2020-03-24,Cyprus,21,0,116,0
1616,2020-03-25,Cyprus,8,3,124,3
1617,2020-03-26,Cyprus,8,0,132,3
1618,2020-03-27,Cyprus,14,0,146,3
1619,2020-03-28,Cyprus,16,2,162,5
