,date,location,new_cases,new_deaths,total_cases,total_deaths
1620,2019-12-31,Czech Republic,0,0,0,0
1621,2020-01-01,Czech Republic,0,0,0,0
1622,2020-01-02,Czech Republic,0,0,0,0
1623,2020-01-03,Czech Republic,0,0,0,0
1624,2020-01-04,Czech Republic,0,0,0,0
1625,2020-01-05,Czech Republic,0,0,0,0
1626,2020-01-06,Czech Republic,0,0,0,0
1627,2020-01-07,Czech Republic,0,0,0,0
1628,2020-01-08,Czech Republic,0,0,0,0
1629,2020-01-09,Czech Republic,0,0,0,0
1630,2020-01-10,Czech Republic,0,0,0,0
1631,2020-01-11,Czech Republic,0,0,0,0
1632,2020-01-12,Czech Republic,0,0,0,0
1633,2020-01-13,Czech Republic,0,0,0,0
1634,2020-01-14,Czech Republic,0,0,0,0
1635,2020-01-15,Czech Republic,0,0,0,0
1636,2020-01-16,Czech Republic,0,0,0,0
1637,2020-01-17,Czech Republic,0,0,0,0
1638,2020-01-18,Czech Republic,0,0,0,0
1639,2020-01-19,Czech Republic,0,0,0,0
1640,2020-01-20,Czech Republic,0,0,0,0
1641,2020-01-21,Czech Republic,0,0,0,0
1642,2020-01-22,Czech Republic,0,0,0,0
1643,2020-01-23,Czech Republic,0,0,0,0
1644,2020-01-24,Czech Republic,0,0,0,0
1645,2020-01-25,Czech Republic,0,0,0,0
1646,2020-01-26,Czech Republic,0,0,0,0
1647,2020-01-27,Czech Republic,0,0,0,0
1648,2020-01-28,Czech Republic,0,0,0,0
1649,2020-01-29,Czech Republic,0,0,0,0
1650,2020-01-30,Czech Republic,0,0,0,0
1651,2020-01-31,Czech Republic,0,0,0,0
1652,2020-02-01,Czech Republic,0,0,0,0
1653,2020-02-02,Czech Republic,0,0,0,0
1654,2020-02-03,Czech Republic,0,0,0,0
1655,2020-02-04,Czech Republic,0,0,0,0
1656,2020-02-05,Czech Republic,0,0,0,0
1657,2020-02-06,Czech Republic,0,0,0,0
1658,2020-02-07,Czech Republic,0,0,0,0
1659,2020-02-08,Czech Republic,0,0,0,0
1660,2020-02-09,Czech Republic,0,0,0,0
1661,2020-02-10,Czech Republic,0,0,0,0
1662,2020-02-11,Czech Republic,0,0,0,0
1663,2020-02-12,Czech Republic,0,0,0,0
1664,2020-02-13,Czech Republic,0,0,0,0
1665,2020-02-14,Czech Republic,0,0,0,0
1666,2020-02-15,Czech Republic,0,0,0,0
1667,2020-02-16,Czech Republic,0,0,0,0
1668,2020-02-17,Czech Republic,0,0,0,0
1669,2020-02-18,Czech Republic,0,0,0,0
1670,2020-02-19,Czech Republic,0,0,0,0
1671,2020-02-20,Czech Republic,0,0,0,0
1672,2020-02-21,Czech Republic,0,0,0,0
1673,2020-02-22,Czech Republic,0,0,0,0
1674,2020-02-23,Czech Republic,0,0,0,0
1675,2020-02-24,Czech Republic,0,0,0,0
1676,2020-02-25,Czech Republic,0,0,0,0
1677,2020-02-26,Czech Republic,0,0,0,0
1678,2020-02-27,Czech Republic,0,0,0,0
1679,2020-02-28,Czech Republic,0,0,0,0
1680,2020-02-29,Czech Republic,0,0,0,0
1681,2020-03-01,Czech Republic,0,0,0,0
1682,2020-03-02,Czech Republic,3,0,3,0
1683,2020-03-03,Czech Republic,2,0,5,0
1684,2020-03-04,Czech Republic,0,0,5,0
1685,2020-03-05,Czech Republic,3,0,8,0
1686,2020-03-06,Czech Republic,4,0,12,0
1687,2020-03-07,Czech Republic,7,0,19,0
1688,2020-03-08,Czech Republic,7,0,26,0
1689,2020-03-09,Czech Republic,6,0,32,0
1690,2020-03-10,Czech Republic,8,0,40,0
1691,2020-03-11,Czech Republic,23,0,63,0
1692,2020-03-12,Czech Republic,31,0,94,0
1693,2020-03-13,Czech Republic,22,0,116,0
1694,2020-03-14,Czech Republic,34,0,150,0
1695,2020-03-15,Czech Republic,64,0,214,0
1696,2020-03-16,Czech Republic,84,0,298,0
1697,2020-03-17,Czech Republic,46,0,344,0
1698,2020-03-18,Czech Republic,90,0,434,0
1699,2020-03-19,Czech Republic,88,0,522,0
1700,2020-03-20,Czech Republic,172,0,694,0
1701,2020-03-21,Czech Republic,210,0,904,0
1702,2020-03-22,Czech Republic,91,0,995,0
1703,2020-03-23,Czech Republic,170,1,1165,1
1704,2020-03-24,Czech Republic,71,0,1236,1
1705,2020-03-25,Czech Republic,158,2,1394,3
1706,2020-03-26,Czech Republic,260,3,1654,6
1707,2020-03-27,Czech Republic,408,3,2062,9
1708,2020-03-28,Czech Republic,217,0,2279,9
