,date,location,new_cases,new_deaths,total_cases,total_deaths
1709,2020-03-11,Democratic Republic of Congo,1,0,1,0
1710,2020-03-14,Democratic Republic of Congo,1,0,2,0
1711,2020-03-15,Democratic Republic of Congo,0,0,2,0
1712,2020-03-16,Democratic Republic of Congo,0,0,2,0
1713,2020-03-17,Democratic Republic of Congo,1,0,3,0
1714,2020-03-18,Democratic Republic of Congo,0,0,3,0
1715,2020-03-19,Democratic Republic of Congo,11,0,14,0
1716,2020-03-20,Democratic Republic of Congo,0,0,14,0
1717,2020-03-21,Democratic Republic of Congo,0,0,14,0
1718,2020-03-22,Democratic Republic of Congo,9,1,23,1
1719,2020-03-23,Democratic Republic of Congo,3,1,26,2
1720,2020-03-24,Democratic Republic of Congo,0,0,26,2
1721,2020-03-25,Democratic Republic of Congo,19,1,45,3
1722,2020-03-26,Democratic Republic of Congo,0,0,45,3
1723,2020-03-27,Democratic Republic of Congo,9,1,54,4
1724,2020-03-28,Democratic Republic of Congo,4,0,58,4
