,date,location,new_cases,new_deaths,total_cases,total_deaths
1725,2019-12-31,Denmark,0,0,0,0
1726,2020-01-01,Denmark,0,0,0,0
1727,2020-01-02,Denmark,0,0,0,0
1728,2020-01-03,Denmark,0,0,0,0
1729,2020-01-04,Denmark,0,0,0,0
1730,2020-01-05,Denmark,0,0,0,0
1731,2020-01-06,Denmark,0,0,0,0
1732,2020-01-07,Denmark,0,0,0,0
1733,2020-01-08,Denmark,0,0,0,0
1734,2020-01-09,Denmark,0,0,0,0
1735,2020-01-10,Denmark,0,0,0,0
1736,2020-01-11,Denmark,0,0,0,0
1737,2020-01-12,Denmark,0,0,0,0
1738,2020-01-13,Denmark,0,0,0,0
1739,2020-01-14,Denmark,0,0,0,0
1740,2020-01-15,Denmark,0,0,0,0
1741,2020-01-16,Denmark,0,0,0,0
1742,2020-01-17,Denmark,0,0,0,0
1743,2020-01-18,Denmark,0,0,0,0
1744,2020-01-19,Denmark,0,0,0,0
1745,2020-01-20,Denmark,0,0,0,0
1746,2020-01-21,Denmark,0,0,0,0
1747,2020-01-22,Denmark,0,0,0,0
1748,2020-01-23,Denmark,0,0,0,0
1749,2020-01-24,Denmark,0,0,0,0
1750,2020-01-25,Denmark,0,0,0,0
1751,2020-01-26,Denmark,0,0,0,0
1752,2020-01-27,Denmark,0,0,0,0
1753,2020-01-28,Denmark,0,0,0,0
1754,2020-01-29,Denmark,0,0,0,0
1755,2020-01-30,Denmark,0,0,0,0
1756,2020-01-31,Denmark,0,0,0,0
1757,2020-02-01,Denmark,0,0,0,0
1758,2020-02-02,Denmark,0,0,0,0
1759,2020-02-03,Denmark,0,0,0,0
1760,2020-02-04,Denmark,0,0,0,0
1761,2020-02-05,Denmark,0,0,0,0
1762,2020-02-06,Denmark,0,0,0,0
1763,2020-02-07,Denmark,0,0,0,0
1764,2020-02-08,Denmark,0,0,0,0
1765,2020-02-09,Denmark,0,0,0,0
1766,2020-02-10,Denmark,0,0,0,0
1767,2020-02-11,Denmark,0,0,0,0
1768,2020-02-12,Denmark,0,0,0,0
1769,2020-02-13,Denmark,0,0,0,0
1770,2020-02-14,Denmark,0,0,0,0
1771,2020-02-15,Denmark,0,0,0,0
1772,2020-02-16,Denmark,0,0,0,0
1773,2020-02-17,Denmark,0,0,0,0
1774,2020-02-18,Denmark,0,0,0,0
1775,2020-02-19,Denmark,0,0,0,0
1776,2020-02-20,Denmark,0,0,0,0
1777,2020-02-21,Denmark,0,0,0,0
1778,2020-02-22,Denmark,0,0,0,0
1779,2020-02-23,Denmark,0,0,0,0
1780,2020-02-24,Denmark,0,0,0,0
1781,2020-02-25,Denmark,0,0,0,0
1782,2020-02-26,Denmark,0,0,0,0
1783,2020-02-27,Denmark,1,0,1,0
1784,2020-02-28,Denmark,0,0,1,0
1785,2020-02-29,Denmark,1,0,2,0
1786,2020-03-01,Denmark,1,0,3,0
1787,2020-03-02,Denmark,1,0,4,0
1788,2020-03-03,Denmark,1,0,5,0
1789,2020-03-04,Denmark,3,0,8,0
1790,2020-03-05,Denmark,2,0,10,0
1791,2020-03-06,Denmark,10,0,20,0
1792,2020-03-07,Denmark,3,0,23,0
1793,2020-03-08,Denmark,8,0,31,0
1794,2020-03-09,Denmark,7,0,38,0
1795,2020-03-10,Denmark,75,0,113,0
1796,2020-03-11,Denmark,151,0,264,0
1797,2020-03-12,Denmark,252,0,516,0
1798,2020-03-13,Denmark,160,0,676,0
1799,2020-03-14,Denmark,128,0,804,0
1800,2020-03-15,Denmark,23,0,827,0
1801,2020-03-16,Denmark,48,1,875,1
1802,2020-03-17,Denmark,57,0,932,1
1803,2020-03-18,Denmark,92,3,1024,4
1804,2020-03-19,Denmark,91,0,1115,4
1805,2020-03-20,Denmark,36,2,1151,6
1806,2020-03-21,Denmark,104,3,1255,9
1807,2020-03-22,Denmark,71,4,1326,13
1808,2020-03-23,Denmark,69,0,1395,13
1809,2020-03-24,Denmark,65,11,1460,24
1810,2020-03-25,Denmark,131,8,1591,32
1811,2020-03-26,Denmark,133,2,1724,34
1812,2020-03-27,Denmark,153,7,1877,41
1813,2020-03-28,Denmark,169,11,2046,52
