,date,location,new_cases,new_deaths,total_cases,total_deaths
1910,2019-12-31,Ecuador,0,0,0,0
1911,2020-01-01,Ecuador,0,0,0,0
1912,2020-01-02,Ecuador,0,0,0,0
1913,2020-01-03,Ecuador,0,0,0,0
1914,2020-01-04,Ecuador,0,0,0,0
1915,2020-01-05,Ecuador,0,0,0,0
1916,2020-01-06,Ecuador,0,0,0,0
1917,2020-01-07,Ecuador,0,0,0,0
1918,2020-01-08,Ecuador,0,0,0,0
1919,2020-01-09,Ecuador,0,0,0,0
1920,2020-01-10,Ecuador,0,0,0,0
1921,2020-01-11,Ecuador,0,0,0,0
1922,2020-01-12,Ecuador,0,0,0,0
1923,2020-01-13,Ecuador,0,0,0,0
1924,2020-01-14,Ecuador,0,0,0,0
1925,2020-01-15,Ecuador,0,0,0,0
1926,2020-01-16,Ecuador,0,0,0,0
1927,2020-01-17,Ecuador,0,0,0,0
1928,2020-01-18,Ecuador,0,0,0,0
1929,2020-01-19,Ecuador,0,0,0,0
1930,2020-01-20,Ecuador,0,0,0,0
1931,2020-01-21,Ecuador,0,0,0,0
1932,2020-01-22,Ecuador,0,0,0,0
1933,2020-01-23,Ecuador,0,0,0,0
1934,2020-01-24,Ecuador,0,0,0,0
1935,2020-01-25,Ecuador,0,0,0,0
1936,2020-01-26,Ecuador,0,0,0,0
1937,2020-01-27,Ecuador,0,0,0,0
1938,2020-01-28,Ecuador,0,0,0,0
1939,2020-01-29,Ecuador,0,0,0,0
1940,2020-01-30,Ecuador,0,0,0,0
1941,2020-01-31,Ecuador,0,0,0,0
1942,2020-02-01,Ecuador,0,0,0,0
1943,2020-02-02,Ecuador,0,0,0,0
1944,2020-02-03,Ecuador,0,0,0,0
1945,2020-02-04,Ecuador,0,0,0,0
1946,2020-02-05,Ecuador,0,0,0,0
1947,2020-02-06,Ecuador,0,0,0,0
1948,2020-02-07,Ecuador,0,0,0,0
1949,2020-02-08,Ecuador,0,0,0,0
1950,2020-02-09,Ecuador,0,0,0,0
1951,2020-02-10,Ecuador,0,0,0,0
1952,2020-02-11,Ecuador,0,0,0,0
1953,2020-02-12,Ecuador,0,0,0,0
1954,2020-02-13,Ecuador,0,0,0,0
1955,2020-02-14,Ecuador,0,0,0,0
1956,2020-02-15,Ecuador,0,0,0,0
1957,2020-02-16,Ecuador,0,0,0,0
1958,2020-02-17,Ecuador,0,0,0,0
1959,2020-02-18,Ecuador,0,0,0,0
1960,2020-02-19,Ecuador,0,0,0,0
1961,2020-02-20,Ecuador,0,0,0,0
1962,2020-02-21,Ecuador,0,0,0,0
1963,2020-02-22,Ecuador,0,0,0,0
1964,2020-02-23,Ecuador,0,0,0,0
1965,2020-02-24,Ecuador,0,0,0,0
1966,2020-02-25,Ecuador,0,0,0,0
1967,2020-02-26,Ecuador,0,0,0,0
1968,2020-02-27,Ecuador,0,0,0,0
1969,2020-02-28,Ecuador,0,0,0,0
1970,2020-02-29,Ecuador,0,0,0,0
1971,2020-03-01,Ecuador,1,0,1,0
1972,2020-03-02,Ecuador,5,0,6,0
1973,2020-03-03,Ecuador,1,0,7,0
1974,2020-03-05,Ecuador,3,0,10,0
1975,2020-03-06,Ecuador,3,0,13,0
1976,2020-03-09,Ecuador,1,0,14,0
1977,2020-03-10,Ecuador,1,0,15,0
1978,2020-03-11,Ecuador,2,0,17,0
1979,2020-03-14,Ecuador,6,1,23,1
1980,2020-03-15,Ecuador,5,1,28,2
1981,2020-03-16,Ecuador,9,0,37,2
1982,2020-03-17,Ecuador,21,0,58,2
1983,2020-03-18,Ecuador,53,0,111,2
1984,2020-03-19,Ecuador,57,1,168,3
1985,2020-03-20,Ecuador,31,0,199,3
1986,2020-03-21,Ecuador,227,4,426,7
1987,2020-03-22,Ecuador,106,0,532,7
1988,2020-03-23,Ecuador,257,7,789,14
1989,2020-03-24,Ecuador,192,4,981,18
1990,2020-03-25,Ecuador,101,9,1082,27
1991,2020-03-26,Ecuador,129,2,1211,29
1992,2020-03-27,Ecuador,192,5,1403,34
1993,2020-03-28,Ecuador,224,7,1627,41
