,date,location,new_cases,new_deaths,total_cases,total_deaths
1994,2019-12-31,Egypt,0,0,0,0
1995,2020-01-01,Egypt,0,0,0,0
1996,2020-01-02,Egypt,0,0,0,0
1997,2020-01-03,Egypt,0,0,0,0
1998,2020-01-04,Egypt,0,0,0,0
1999,2020-01-05,Egypt,0,0,0,0
2000,2020-01-06,Egypt,0,0,0,0
2001,2020-01-07,Egypt,0,0,0,0
2002,2020-01-08,Egypt,0,0,0,0
2003,2020-01-09,Egypt,0,0,0,0
2004,2020-01-10,Egypt,0,0,0,0
2005,2020-01-11,Egypt,0,0,0,0
2006,2020-01-12,Egypt,0,0,0,0
2007,2020-01-13,Egypt,0,0,0,0
2008,2020-01-14,Egypt,0,0,0,0
2009,2020-01-15,Egypt,0,0,0,0
2010,2020-01-16,Egypt,0,0,0,0
2011,2020-01-17,Egypt,0,0,0,0
2012,2020-01-18,Egypt,0,0,0,0
2013,2020-01-19,Egypt,0,0,0,0
2014,2020-01-20,Egypt,0,0,0,0
2015,2020-01-21,Egypt,0,0,0,0
2016,2020-01-22,Egypt,0,0,0,0
2017,2020-01-23,Egypt,0,0,0,0
2018,2020-01-24,Egypt,0,0,0,0
2019,2020-01-25,Egypt,0,0,0,0
2020,2020-01-26,Egypt,0,0,0,0
2021,2020-01-27,Egypt,0,0,0,0
2022,2020-01-28,Egypt,0,0,0,0
2023,2020-01-29,Egypt,0,0,0,0
2024,2020-01-30,Egypt,0,0,0,0
2025,2020-01-31,Egypt,0,0,0,0
2026,2020-02-01,Egypt,0,0,0,0
2027,2020-02-02,Egypt,0,0,0,0
2028,2020-02-03,Egypt,0,0,0,0
2029,2020-02-04,Egypt,0,0,0,0
2030,2020-02-05,Egypt,0,0,0,0
2031,2020-02-06,Egypt,0,0,0,0
2032,2020-02-07,Egypt,0,0,0,0
2033,2020-02-08,Egypt,0,0,0,0
2034,2020-02-09,Egypt,0,0,0,0
2035,2020-02-10,Egypt,0,0,0,0
2036,2020-02-11,Egypt,0,0,0,0
2037,2020-02-12,Egypt,0,0,0,0
2038,2020-02-13,Egypt,0,0,0,0
2039,2020-02-14,Egypt,0,0,0,0
2040,2020-02-15,Egypt,1,0,1,0
2041,2020-02-16,Egypt,0,0,1,0
2042,2020-02-17,Egypt,0,0,1,0
2043,2020-02-18,Egypt,0,0,1,0
2044,2020-02-19,Egypt,0,0,1,0
2045,2020-02-20,Egypt,0,0,1,0
2046,2020-02-21,Egypt,0,0,1,0
2047,2020-02-22,Egypt,0,0,1,0
2048,2020-02-23,Egypt,0,0,1,0
2049,2020-02-24,Egypt,0,0,1,0
2050,2020-02-25,Egypt,0,0,1,0
2051,2020-02-26,Egypt,0,0,1,0
2052,2020-02-27,Egypt,0,0,1,0
2053,2020-02-28,Egypt,0,0,1,0
2054,2020-02-29,Egypt,0,0,1,0
2055,2020-03-01,Egypt,0,0,1,0
2056,2020-03-02,Egypt,1,0,2,0
2057,2020-03-06,Egypt,1,0,3,0
2058,2020-03-07,Egypt,12,0,15,0
2059,2020-03-09,Egypt,34,1,49,1
2060,2020-03-10,Egypt,6,0,55,1
2061,2020-03-11,Egypt,4,0,59,1
2062,2020-03-12,Egypt,1,0,60,1
2063,2020-03-13,Egypt,20,1,80,2
2064,2020-03-14,Egypt,13,0,93,2
2065,2020-03-15,Egypt,0,0,93,2
2066,2020-03-16,Egypt,17,0,110,2
2067,2020-03-17,Egypt,16,0,126,2
2068,2020-03-18,Egypt,40,2,166,4
2069,2020-03-19,Egypt,30,2,196,6
2070,2020-03-20,Egypt,14,0,210,6
2071,2020-03-21,Egypt,46,1,256,7
2072,2020-03-22,Egypt,29,1,285,8
2073,2020-03-23,Egypt,9,2,294,10
2074,2020-03-24,Egypt,33,4,327,14
2075,2020-03-25,Egypt,39,5,366,19
2076,2020-03-26,Egypt,76,2,442,21
2077,2020-03-27,Egypt,14,0,456,21
2078,2020-03-28,Egypt,39,3,495,24
