,date,location,new_cases,new_deaths,total_cases,total_deaths
2089,2020-03-15,Equatorial Guinea,1,0,1,0
2090,2020-03-16,Equatorial Guinea,0,0,1,0
2091,2020-03-17,Equatorial Guinea,0,0,1,0
2092,2020-03-18,Equatorial Guinea,0,0,1,0
2093,2020-03-19,Equatorial Guinea,2,0,3,0
2094,2020-03-20,Equatorial Guinea,1,0,4,0
2095,2020-03-21,Equatorial Guinea,0,0,4,0
2096,2020-03-22,Equatorial Guinea,2,0,6,0
2097,2020-03-23,Equatorial Guinea,0,0,6,0
2098,2020-03-24,Equatorial Guinea,3,0,9,0
2099,2020-03-25,Equatorial Guinea,0,0,9,0
2100,2020-03-26,Equatorial Guinea,2,0,11,0
2101,2020-03-27,Equatorial Guinea,1,0,12,0
2102,2020-03-28,Equatorial Guinea,1,0,13,0
