,date,location,new_cases,new_deaths,total_cases,total_deaths
2110,2019-12-31,Estonia,0,0,0,0
2111,2020-01-01,Estonia,0,0,0,0
2112,2020-01-02,Estonia,0,0,0,0
2113,2020-01-03,Estonia,0,0,0,0
2114,2020-01-04,Estonia,0,0,0,0
2115,2020-01-05,Estonia,0,0,0,0
2116,2020-01-06,Estonia,0,0,0,0
2117,2020-01-07,Estonia,0,0,0,0
2118,2020-01-08,Estonia,0,0,0,0
2119,2020-01-09,Estonia,0,0,0,0
2120,2020-01-10,Estonia,0,0,0,0
2121,2020-01-11,Estonia,0,0,0,0
2122,2020-01-12,Estonia,0,0,0,0
2123,2020-01-13,Estonia,0,0,0,0
2124,2020-01-14,Estonia,0,0,0,0
2125,2020-01-15,Estonia,0,0,0,0
2126,2020-01-16,Estonia,0,0,0,0
2127,2020-01-17,Estonia,0,0,0,0
2128,2020-01-18,Estonia,0,0,0,0
2129,2020-01-19,Estonia,0,0,0,0
2130,2020-01-20,Estonia,0,0,0,0
2131,2020-01-21,Estonia,0,0,0,0
2132,2020-01-22,Estonia,0,0,0,0
2133,2020-01-23,Estonia,0,0,0,0
2134,2020-01-24,Estonia,0,0,0,0
2135,2020-01-25,Estonia,0,0,0,0
2136,2020-01-26,Estonia,0,0,0,0
2137,2020-01-27,Estonia,0,0,0,0
2138,2020-01-28,Estonia,0,0,0,0
2139,2020-01-29,Estonia,0,0,0,0
2140,2020-01-30,Estonia,0,0,0,0
2141,2020-01-31,Estonia,0,0,0,0
2142,2020-02-01,Estonia,0,0,0,0
2143,2020-02-02,Estonia,0,0,0,0
2144,2020-02-03,Estonia,0,0,0,0
2145,2020-02-04,Estonia,0,0,0,0
2146,2020-02-05,Estonia,0,0,0,0
2147,2020-02-06,Estonia,0,0,0,0
2148,2020-02-07,Estonia,0,0,0,0
2149,2020-02-08,Estonia,0,0,0,0
2150,2020-02-09,Estonia,0,0,0,0
2151,2020-02-10,Estonia,0,0,0,0
2152,2020-02-11,Estonia,0,0,0,0
2153,2020-02-12,Estonia,0,0,0,0
2154,2020-02-13,Estonia,0,0,0,0
2155,2020-02-14,Estonia,0,0,0,0
2156,2020-02-15,Estonia,0,0,0,0
2157,2020-02-16,Estonia,0,0,0,0
2158,2020-02-17,Estonia,0,0,0,0
2159,2020-02-18,Estonia,0,0,0,0
2160,2020-02-19,Estonia,0,0,0,0
2161,2020-02-20,Estonia,0,0,0,0
2162,2020-02-21,Estonia,0,0,0,0
2163,2020-02-22,Estonia,0,0,0,0
2164,2020-02-23,Estonia,0,0,0,0
2165,2020-02-24,Estonia,0,0,0,0
2166,2020-02-25,Estonia,0,0,0,0
2167,2020-02-26,Estonia,0,0,0,0
2168,2020-02-27,Estonia,0,0,0,0
2169,2020-02-28,Estonia,1,0,1,0
2170,2020-02-29,Estonia,0,0,1,0
2171,2020-03-01,Estonia,0,0,1,0
2172,2020-03-02,Estonia,0,0,1,0
2173,2020-03-04,Estonia,1,0,2,0
2174,2020-03-06,Estonia,3,0,5,0
2175,2020-03-07,Estonia,5,0,10,0
2176,2020-03-11,Estonia,3,0,13,0
2177,2020-03-12,Estonia,3,0,16,0
2178,2020-03-13,Estonia,11,0,27,0
2179,2020-03-14,Estonia,52,0,79,0
2180,2020-03-15,Estonia,36,0,115,0
2181,2020-03-16,Estonia,56,0,171,0
2182,2020-03-17,Estonia,34,0,205,0
2183,2020-03-18,Estonia,20,0,225,0
2184,2020-03-19,Estonia,33,0,258,0
2185,2020-03-20,Estonia,9,0,267,0
2186,2020-03-21,Estonia,16,0,283,0
2187,2020-03-22,Estonia,23,0,306,0
2188,2020-03-23,Estonia,20,0,326,0
2189,2020-03-24,Estonia,26,0,352,0
2190,2020-03-25,Estonia,17,0,369,0
2191,2020-03-26,Estonia,35,1,404,1
2192,2020-03-27,Estonia,134,0,538,1
2193,2020-03-28,Estonia,37,0,575,1
