,date,location,new_cases,new_deaths,total_cases,total_deaths
2194,2020-03-14,Ethiopia,1,0,1,0
2195,2020-03-15,Ethiopia,0,0,1,0
2196,2020-03-16,Ethiopia,3,0,4,0
2197,2020-03-17,Ethiopia,1,0,5,0
2198,2020-03-18,Ethiopia,0,0,5,0
2199,2020-03-19,Ethiopia,1,0,6,0
2200,2020-03-20,Ethiopia,1,0,7,0
2201,2020-03-21,Ethiopia,2,0,9,0
2202,2020-03-22,Ethiopia,0,0,9,0
2203,2020-03-23,Ethiopia,2,0,11,0
2204,2020-03-24,Ethiopia,0,0,11,0
2205,2020-03-25,Ethiopia,0,0,11,0
2206,2020-03-26,Ethiopia,1,0,12,0
2207,2020-03-27,Ethiopia,0,0,12,0
2208,2020-03-28,Ethiopia,4,0,16,0
