,date,location,new_cases,new_deaths,total_cases,total_deaths
2311,2019-12-31,France,0,0,0,0
2312,2020-01-01,France,0,0,0,0
2313,2020-01-02,France,0,0,0,0
2314,2020-01-03,France,0,0,0,0
2315,2020-01-04,France,0,0,0,0
2316,2020-01-05,France,0,0,0,0
2317,2020-01-06,France,0,0,0,0
2318,2020-01-07,France,0,0,0,0
2319,2020-01-08,France,0,0,0,0
2320,2020-01-09,France,0,0,0,0
2321,2020-01-10,France,0,0,0,0
2322,2020-01-11,France,0,0,0,0
2323,2020-01-12,France,0,0,0,0
2324,2020-01-13,France,0,0,0,0
2325,2020-01-14,France,0,0,0,0
2326,2020-01-15,France,0,0,0,0
2327,2020-01-16,France,0,0,0,0
2328,2020-01-17,France,0,0,0,0
2329,2020-01-18,France,0,0,0,0
2330,2020-01-19,France,0,0,0,0
2331,2020-01-20,France,0,0,0,0
2332,2020-01-21,France,0,0,0,0
2333,2020-01-22,France,0,0,0,0
2334,2020-01-23,France,0,0,0,0
2335,2020-01-24,France,0,0,0,0
2336,2020-01-25,France,3,0,3,0
2337,2020-01-26,France,0,0,3,0
2338,2020-01-27,France,0,0,3,0
2339,2020-01-28,France,0,0,3,0
2340,2020-01-29,France,1,0,4,0
2341,2020-01-30,France,1,0,5,0
2342,2020-01-31,France,1,0,6,0
2343,2020-02-01,France,0,0,6,0
2344,2020-02-02,France,0,0,6,0
2345,2020-02-03,France,0,0,6,0
2346,2020-02-04,France,0,0,6,0
2347,2020-02-05,France,0,0,6,0
2348,2020-02-06,France,0,0,6,0
2349,2020-02-07,France,0,0,6,0
2350,2020-02-08,France,5,0,11,0
2351,2020-02-09,France,0,0,11,0
2352,2020-02-10,France,0,0,11,0
2353,2020-02-11,France,0,0,11,0
2354,2020-02-12,France,0,0,11,0
2355,2020-02-13,France,0,0,11,0
2356,2020-02-14,France,0,0,11,0
2357,2020-02-15,France,0,1,11,1
2358,2020-02-16,France,0,0,11,1
2359,2020-02-17,France,1,0,12,1
2360,2020-02-18,France,0,0,12,1
2361,2020-02-19,France,0,0,12,1
2362,2020-02-20,France,0,0,12,1
2363,2020-02-21,France,0,0,12,1
2364,2020-02-22,France,0,0,12,1
2365,2020-02-23,France,0,0,12,1
2366,2020-02-24,France,0,0,12,1
2367,2020-02-25,France,0,0,12,1
2368,2020-02-26,France,2,0,14,1
2369,2020-02-27,France,3,1,17,2
2370,2020-02-28,France,21,0,38,2
2371,2020-02-29,France,19,0,57,2
2372,2020-03-01,France,43,0,100,2
2373,2020-03-02,France,30,0,130,2
2374,2020-03-03,France,48,1,178,3
2375,2020-03-04,France,34,1,212,4
2376,2020-03-05,France,73,0,285,4
2377,2020-03-06,France,138,3,423,7
2378,2020-03-07,France,190,2,613,9
2379,2020-03-08,France,103,1,716,10
2380,2020-03-09,France,410,9,1126,19
2381,2020-03-10,France,286,11,1412,30
2382,2020-03-11,France,372,3,1784,33
2383,2020-03-12,France,497,15,2281,48
2384,2020-03-13,France,595,13,2876,61
2385,2020-03-14,France,785,18,3661,79
2386,2020-03-15,France,838,12,4499,91
2387,2020-03-16,France,924,36,5423,127
2388,2020-03-17,France,1210,21,6633,148
2389,2020-03-18,France,1097,27,7730,175
2390,2020-03-19,France,1404,69,9134,244
2391,2020-03-20,France,1861,128,10995,372
2392,2020-03-21,France,1617,78,12612,450
2393,2020-03-22,France,1847,112,14459,562
2394,2020-03-23,France,1559,112,16018,674
2395,2020-03-24,France,3838,186,19856,860
2396,2020-03-25,France,2446,240,22302,1100
2397,2020-03-26,France,2931,231,25233,1331
2398,2020-03-27,France,3922,365,29155,1696
2399,2020-03-28,France,3809,299,32964,1995
