,date,location,new_cases,new_deaths,total_cases,total_deaths
2436,2019-12-31,Georgia,0,0,0,0
2437,2020-01-01,Georgia,0,0,0,0
2438,2020-01-02,Georgia,0,0,0,0
2439,2020-01-03,Georgia,0,0,0,0
2440,2020-01-04,Georgia,0,0,0,0
2441,2020-01-05,Georgia,0,0,0,0
2442,2020-01-06,Georgia,0,0,0,0
2443,2020-01-07,Georgia,0,0,0,0
2444,2020-01-08,Georgia,0,0,0,0
2445,2020-01-09,Georgia,0,0,0,0
2446,2020-01-10,Georgia,0,0,0,0
2447,2020-01-11,Georgia,0,0,0,0
2448,2020-01-12,Georgia,0,0,0,0
2449,2020-01-13,Georgia,0,0,0,0
2450,2020-01-14,Georgia,0,0,0,0
2451,2020-01-15,Georgia,0,0,0,0
2452,2020-01-16,Georgia,0,0,0,0
2453,2020-01-17,Georgia,0,0,0,0
2454,2020-01-18,Georgia,0,0,0,0
2455,2020-01-19,Georgia,0,0,0,0
2456,2020-01-20,Georgia,0,0,0,0
2457,2020-01-21,Georgia,0,0,0,0
2458,2020-01-22,Georgia,0,0,0,0
2459,2020-01-23,Georgia,0,0,0,0
2460,2020-01-24,Georgia,0,0,0,0
2461,2020-01-25,Georgia,0,0,0,0
2462,2020-01-26,Georgia,0,0,0,0
2463,2020-01-27,Georgia,0,0,0,0
2464,2020-01-28,Georgia,0,0,0,0
2465,2020-01-29,Georgia,0,0,0,0
2466,2020-01-30,Georgia,0,0,0,0
2467,2020-01-31,Georgia,0,0,0,0
2468,2020-02-01,Georgia,0,0,0,0
2469,2020-02-02,Georgia,0,0,0,0
2470,2020-02-03,Georgia,0,0,0,0
2471,2020-02-04,Georgia,0,0,0,0
2472,2020-02-05,Georgia,0,0,0,0
2473,2020-02-06,Georgia,0,0,0,0
2474,2020-02-07,Georgia,0,0,0,0
2475,2020-02-08,Georgia,0,0,0,0
2476,2020-02-09,Georgia,0,0,0,0
2477,2020-02-10,Georgia,0,0,0,0
2478,2020-02-11,Georgia,0,0,0,0
2479,2020-02-12,Georgia,0,0,0,0
2480,2020-02-13,Georgia,0,0,0,0
2481,2020-02-14,Georgia,0,0,0,0
2482,2020-02-15,Georgia,0,0,0,0
2483,2020-02-16,Georgia,0,0,0,0
2484,2020-02-17,Georgia,0,0,0,0
2485,2020-02-18,Georgia,0,0,0,0
2486,2020-02-19,Georgia,0,0,0,0
2487,2020-02-20,Georgia,0,0,0,0
2488,2020-02-21,Georgia,0,0,0,0
2489,2020-02-22,Georgia,0,0,0,0
2490,2020-02-23,Georgia,0,0,0,0
2491,2020-02-24,Georgia,0,0,0,0
2492,2020-02-25,Georgia,0,0,0,0
2493,2020-02-26,Georgia,0,0,0,0
2494,2020-02-27,Georgia,1,0,1,0
2495,2020-02-28,Georgia,0,0,1,0
2496,2020-02-29,Georgia,1,0,2,0
2497,2020-03-01,Georgia,1,0,3,0
2498,2020-03-02,Georgia,0,0,3,0
2499,2020-03-05,Georgia,0,0,3,0
2500,2020-03-06,Georgia,6,0,9,0
2501,2020-03-08,Georgia,3,0,12,0
2502,2020-03-09,Georgia,1,0,13,0
2503,2020-03-10,Georgia,2,0,15,0
2504,2020-03-11,Georgia,8,0,23,0
2505,2020-03-12,Georgia,1,0,24,0
2506,2020-03-13,Georgia,1,0,25,0
2507,2020-03-14,Georgia,5,0,30,0
2508,2020-03-15,Georgia,0,0,30,0
2509,2020-03-16,Georgia,0,0,30,0
2510,2020-03-17,Georgia,3,0,33,0
2511,2020-03-18,Georgia,1,0,34,0
2512,2020-03-19,Georgia,0,0,34,0
2513,2020-03-20,Georgia,6,0,40,0
2514,2020-03-21,Georgia,3,0,43,0
2515,2020-03-22,Georgia,6,0,49,0
2516,2020-03-23,Georgia,5,0,54,0
2517,2020-03-24,Georgia,7,0,61,0
2518,2020-03-25,Georgia,9,0,70,0
2519,2020-03-26,Georgia,3,0,73,0
2520,2020-03-27,Georgia,6,0,79,0
2521,2020-03-28,Georgia,2,0,81,0
