,date,location,new_cases,new_deaths,total_cases,total_deaths
2522,2019-12-31,Germany,0,0,0,0
2523,2020-01-01,Germany,0,0,0,0
2524,2020-01-02,Germany,0,0,0,0
2525,2020-01-03,Germany,0,0,0,0
2526,2020-01-04,Germany,0,0,0,0
2527,2020-01-05,Germany,0,0,0,0
2528,2020-01-06,Germany,0,0,0,0
2529,2020-01-07,Germany,0,0,0,0
2530,2020-01-08,Germany,0,0,0,0
2531,2020-01-09,Germany,0,0,0,0
2532,2020-01-10,Germany,0,0,0,0
2533,2020-01-11,Germany,0,0,0,0
2534,2020-01-12,Germany,0,0,0,0
2535,2020-01-13,Germany,0,0,0,0
2536,2020-01-14,Germany,0,0,0,0
2537,2020-01-15,Germany,0,0,0,0
2538,2020-01-16,Germany,0,0,0,0
2539,2020-01-17,Germany,0,0,0,0
2540,2020-01-18,Germany,0,0,0,0
2541,2020-01-19,Germany,0,0,0,0
2542,2020-01-20,Germany,0,0,0,0
2543,2020-01-21,Germany,0,0,0,0
2544,2020-01-22,Germany,0,0,0,0
2545,2020-01-23,Germany,0,0,0,0
2546,2020-01-24,Germany,0,0,0,0
2547,2020-01-25,Germany,0,0,0,0
2548,2020-01-26,Germany,0,0,0,0
2549,2020-01-27,Germany,0,0,0,0
2550,2020-01-28,Germany,1,0,1,0
2551,2020-01-29,Germany,3,0,4,0
2552,2020-01-30,Germany,0,0,4,0
2553,2020-01-31,Germany,1,0,5,0
2554,2020-02-01,Germany,2,0,7,0
2555,2020-02-02,Germany,1,0,8,0
2556,2020-02-03,Germany,1,0,9,0
2557,2020-02-04,Germany,2,0,11,0
2558,2020-02-05,Germany,0,0,11,0
2559,2020-02-06,Germany,0,0,11,0
2560,2020-02-07,Germany,1,0,12,0
2561,2020-02-08,Germany,1,0,13,0
2562,2020-02-09,Germany,0,0,13,0
2563,2020-02-10,Germany,0,0,13,0
2564,2020-02-11,Germany,0,0,13,0
2565,2020-02-12,Germany,2,0,15,0
2566,2020-02-13,Germany,0,0,15,0
2567,2020-02-14,Germany,0,0,15,0
2568,2020-02-15,Germany,0,0,15,0
2569,2020-02-16,Germany,0,0,15,0
2570,2020-02-17,Germany,0,0,15,0
2571,2020-02-18,Germany,0,0,15,0
2572,2020-02-19,Germany,0,0,15,0
2573,2020-02-20,Germany,0,0,15,0
2574,2020-02-21,Germany,0,0,15,0
2575,2020-02-22,Germany,0,0,15,0
2576,2020-02-23,Germany,0,0,15,0
2577,2020-02-24,Germany,0,0,15,0
2578,2020-02-25,Germany,0,0,15,0
2579,2020-02-26,Germany,2,0,17,0
2580,2020-02-27,Germany,4,0,21,0
2581,2020-02-28,Germany,26,0,47,0
2582,2020-02-29,Germany,10,0,57,0
2583,2020-03-01,Germany,54,0,111,0
2584,2020-03-02,Germany,18,0,129,0
2585,2020-03-03,Germany,28,0,157,0
2586,2020-03-04,Germany,39,0,196,0
2587,2020-03-05,Germany,66,0,262,0
2588,2020-03-06,Germany,138,0,400,0
2589,2020-03-07,Germany,284,0,684,0
2590,2020-03-08,Germany,163,0,847,0
2591,2020-03-09,Germany,55,0,902,0
2592,2020-03-10,Germany,237,2,1139,2
2593,2020-03-11,Germany,157,0,1296,2
2594,2020-03-12,Germany,271,1,1567,3
2595,2020-03-13,Germany,802,2,2369,5
2596,2020-03-14,Germany,693,0,3062,5
2597,2020-03-15,Germany,733,3,3795,8
2598,2020-03-16,Germany,1043,4,4838,12
2599,2020-03-17,Germany,1174,1,6012,13
2600,2020-03-18,Germany,1144,0,7156,13
2601,2020-03-19,Germany,1042,0,8198,13
2602,2020-03-20,Germany,5940,30,14138,43
2603,2020-03-21,Germany,4049,2,18187,45
2604,2020-03-22,Germany,3276,22,21463,67
2605,2020-03-23,Germany,3311,27,24774,94
2606,2020-03-24,Germany,4438,32,29212,126
2607,2020-03-25,Germany,2342,23,31554,149
2608,2020-03-26,Germany,4954,49,36508,198
2609,2020-03-27,Germany,5780,55,42288,253
2610,2020-03-28,Germany,6294,72,48582,325
