,date,location,new_cases,new_deaths,total_cases,total_deaths
2635,2019-12-31,Greece,0,0,0,0
2636,2020-01-01,Greece,0,0,0,0
2637,2020-01-02,Greece,0,0,0,0
2638,2020-01-03,Greece,0,0,0,0
2639,2020-01-04,Greece,0,0,0,0
2640,2020-01-05,Greece,0,0,0,0
2641,2020-01-06,Greece,0,0,0,0
2642,2020-01-07,Greece,0,0,0,0
2643,2020-01-08,Greece,0,0,0,0
2644,2020-01-09,Greece,0,0,0,0
2645,2020-01-10,Greece,0,0,0,0
2646,2020-01-11,Greece,0,0,0,0
2647,2020-01-12,Greece,0,0,0,0
2648,2020-01-13,Greece,0,0,0,0
2649,2020-01-14,Greece,0,0,0,0
2650,2020-01-15,Greece,0,0,0,0
2651,2020-01-16,Greece,0,0,0,0
2652,2020-01-17,Greece,0,0,0,0
2653,2020-01-18,Greece,0,0,0,0
2654,2020-01-19,Greece,0,0,0,0
2655,2020-01-20,Greece,0,0,0,0
2656,2020-01-21,Greece,0,0,0,0
2657,2020-01-22,Greece,0,0,0,0
2658,2020-01-23,Greece,0,0,0,0
2659,2020-01-24,Greece,0,0,0,0
2660,2020-01-25,Greece,0,0,0,0
2661,2020-01-26,Greece,0,0,0,0
2662,2020-01-27,Greece,0,0,0,0
2663,2020-01-28,Greece,0,0,0,0
2664,2020-01-29,Greece,0,0,0,0
2665,2020-01-30,Greece,0,0,0,0
2666,2020-01-31,Greece,0,0,0,0
2667,2020-02-01,Greece,0,0,0,0
2668,2020-02-02,Greece,0,0,0,0
2669,2020-02-03,Greece,0,0,0,0
2670,2020-02-04,Greece,0,0,0,0
2671,2020-02-05,Greece,0,0,0,0
2672,2020-02-06,Greece,0,0,0,0
2673,2020-02-07,Greece,0,0,0,0
2674,2020-02-08,Greece,0,0,0,0
2675,2020-02-09,Greece,0,0,0,0
2676,2020-02-10,Greece,0,0,0,0
2677,2020-02-11,Greece,0,0,0,0
2678,2020-02-12,Greece,0,0,0,0
2679,2020-02-13,Greece,0,0,0,0
2680,2020-02-14,Greece,0,0,0,0
2681,2020-02-15,Greece,0,0,0,0
2682,2020-02-16,Greece,0,0,0,0
2683,2020-02-17,Greece,0,0,0,0
2684,2020-02-18,Greece,0,0,0,0
2685,2020-02-19,Greece,0,0,0,0
2686,2020-02-20,Greece,0,0,0,0
2687,2020-02-21,Greece,0,0,0,0
2688,2020-02-22,Greece,0,0,0,0
2689,2020-02-23,Greece,0,0,0,0
2690,2020-02-24,Greece,0,0,0,0
2691,2020-02-25,Greece,0,0,0,0
2692,2020-02-26,Greece,0,0,0,0
2693,2020-02-27,Greece,1,0,1,0
2694,2020-02-28,Greece,2,0,3,0
2695,2020-02-29,Greece,1,0,4,0
2696,2020-03-01,Greece,3,0,7,0
2697,2020-03-02,Greece,0,0,7,0
2698,2020-03-05,Greece,3,0,10,0
2699,2020-03-06,Greece,22,0,32,0
2700,2020-03-07,Greece,13,0,45,0
2701,2020-03-08,Greece,21,0,66,0
2702,2020-03-09,Greece,7,0,73,0
2703,2020-03-10,Greece,11,0,84,0
2704,2020-03-11,Greece,6,0,90,0
2705,2020-03-12,Greece,9,1,99,1
2706,2020-03-13,Greece,34,0,133,1
2707,2020-03-14,Greece,57,0,190,1
2708,2020-03-15,Greece,38,2,228,3
2709,2020-03-16,Greece,103,1,331,4
2710,2020-03-17,Greece,21,0,352,4
2711,2020-03-18,Greece,35,1,387,5
2712,2020-03-19,Greece,31,0,418,5
2713,2020-03-20,Greece,46,0,464,5
2714,2020-03-21,Greece,31,3,495,8
2715,2020-03-22,Greece,35,5,530,13
2716,2020-03-23,Greece,94,2,624,15
2717,2020-03-24,Greece,71,2,695,17
2718,2020-03-25,Greece,48,3,743,20
2719,2020-03-26,Greece,78,2,821,22
2720,2020-03-27,Greece,71,4,892,26
2721,2020-03-28,Greece,74,2,966,28
