,date,location,new_cases,new_deaths,total_cases,total_deaths
2824,2020-03-05,Hungary,2,0,2,0
2825,2020-03-07,Hungary,2,0,4,0
2826,2020-03-08,Hungary,3,0,7,0
2827,2020-03-09,Hungary,1,0,8,0
2828,2020-03-10,Hungary,1,0,9,0
2829,2020-03-11,Hungary,3,0,12,0
2830,2020-03-12,Hungary,1,0,13,0
2831,2020-03-13,Hungary,3,0,16,0
2832,2020-03-14,Hungary,9,0,25,0
2833,2020-03-15,Hungary,6,0,31,0
2834,2020-03-16,Hungary,8,1,39,1
2835,2020-03-17,Hungary,11,0,50,1
2836,2020-03-18,Hungary,0,0,50,1
2837,2020-03-19,Hungary,23,0,73,1
2838,2020-03-20,Hungary,12,0,85,1
2839,2020-03-21,Hungary,18,3,103,4
2840,2020-03-22,Hungary,28,0,131,4
2841,2020-03-23,Hungary,36,3,167,7
2842,2020-03-24,Hungary,20,1,187,8
2843,2020-03-25,Hungary,39,2,226,10
2844,2020-03-26,Hungary,35,0,261,10
2845,2020-03-27,Hungary,39,0,300,10
2846,2020-03-28,Hungary,43,1,343,11
