,date,location,new_cases,new_deaths,total_cases,total_deaths
2936,2019-12-31,India,0,0,0,0
2937,2020-01-01,India,0,0,0,0
2938,2020-01-02,India,0,0,0,0
2939,2020-01-03,India,0,0,0,0
2940,2020-01-04,India,0,0,0,0
2941,2020-01-05,India,0,0,0,0
2942,2020-01-06,India,0,0,0,0
2943,2020-01-07,India,0,0,0,0
2944,2020-01-08,India,0,0,0,0
2945,2020-01-09,India,0,0,0,0
2946,2020-01-10,India,0,0,0,0
2947,2020-01-11,India,0,0,0,0
2948,2020-01-12,India,0,0,0,0
2949,2020-01-13,India,0,0,0,0
2950,2020-01-14,India,0,0,0,0
2951,2020-01-15,India,0,0,0,0
2952,2020-01-16,India,0,0,0,0
2953,2020-01-17,India,0,0,0,0
2954,2020-01-18,India,0,0,0,0
2955,2020-01-19,India,0,0,0,0
2956,2020-01-20,India,0,0,0,0
2957,2020-01-21,India,0,0,0,0
2958,2020-01-22,India,0,0,0,0
2959,2020-01-23,India,0,0,0,0
2960,2020-01-24,India,0,0,0,0
2961,2020-01-25,India,0,0,0,0
2962,2020-01-26,India,0,0,0,0
2963,2020-01-27,India,0,0,0,0
2964,2020-01-28,India,0,0,0,0
2965,2020-01-29,India,0,0,0,0
2966,2020-01-30,India,1,0,1,0
2967,2020-01-31,India,0,0,1,0
2968,2020-02-01,India,0,0,1,0
2969,2020-02-02,India,1,0,2,0
2970,2020-02-03,India,0,0,2,0
2971,2020-02-04,India,1,0,3,0
2972,2020-02-05,India,0,0,3,0
2973,2020-02-06,India,0,0,3,0
2974,2020-02-07,India,0,0,3,0
2975,2020-02-08,India,0,0,3,0
2976,2020-02-09,India,0,0,3,0
2977,2020-02-10,India,0,0,3,0
2978,2020-02-11,India,0,0,3,0
2979,2020-02-12,India,0,0,3,0
2980,2020-02-13,India,0,0,3,0
2981,2020-02-14,India,0,0,3,0
2982,2020-02-15,India,0,0,3,0
2983,2020-02-16,India,0,0,3,0
2984,2020-02-17,India,0,0,3,0
2985,2020-02-18,India,0,0,3,0
2986,2020-02-19,India,0,0,3,0
2987,2020-02-20,India,0,0,3,0
2988,2020-02-21,India,0,0,3,0
2989,2020-02-22,India,0,0,3,0
2990,2020-02-23,India,0,0,3,0
2991,2020-02-24,India,0,0,3,0
2992,2020-02-25,India,0,0,3,0
2993,2020-02-26,India,0,0,3,0
2994,2020-02-27,India,0,0,3,0
2995,2020-02-28,India,0,0,3,0
2996,2020-02-29,India,0,0,3,0
2997,2020-03-01,India,0,0,3,0
2998,2020-03-02,India,0,0,3,0
2999,2020-03-03,India,2,0,5,0
3000,2020-03-04,India,1,0,6,0
3001,2020-03-05,India,22,0,28,0
3002,2020-03-06,India,1,0,29,0
3003,2020-03-07,India,2,0,31,0
3004,2020-03-08,India,3,0,34,0
3005,2020-03-10,India,10,0,44,0
3006,2020-03-11,India,6,0,50,0
3007,2020-03-12,India,23,0,73,0
3008,2020-03-13,India,2,1,75,1
3009,2020-03-14,India,8,1,83,2
3010,2020-03-15,India,7,0,90,2
3011,2020-03-16,India,3,0,93,2
3012,2020-03-17,India,32,1,125,3
3013,2020-03-18,India,12,0,137,3
3014,2020-03-19,India,28,0,165,3
3015,2020-03-20,India,26,1,191,4
3016,2020-03-21,India,40,0,231,4
3017,2020-03-22,India,89,0,320,4
3018,2020-03-23,India,119,3,439,7
3019,2020-03-24,India,53,2,492,9
3020,2020-03-25,India,70,0,562,9
3021,2020-03-26,India,87,4,649,13
3022,2020-03-27,India,75,4,724,17
3023,2020-03-28,India,149,2,873,19
