,date,location,new_cases,new_deaths,total_cases,total_deaths
3170,2019-12-31,Iran,0,0,0,0
3171,2020-01-01,Iran,0,0,0,0
3172,2020-01-02,Iran,0,0,0,0
3173,2020-01-03,Iran,0,0,0,0
3174,2020-01-04,Iran,0,0,0,0
3175,2020-01-05,Iran,0,0,0,0
3176,2020-01-06,Iran,0,0,0,0
3177,2020-01-07,Iran,0,0,0,0
3178,2020-01-08,Iran,0,0,0,0
3179,2020-01-09,Iran,0,0,0,0
3180,2020-01-10,Iran,0,0,0,0
3181,2020-01-11,Iran,0,0,0,0
3182,2020-01-12,Iran,0,0,0,0
3183,2020-01-13,Iran,0,0,0,0
3184,2020-01-14,Iran,0,0,0,0
3185,2020-01-15,Iran,0,0,0,0
3186,2020-01-16,Iran,0,0,0,0
3187,2020-01-17,Iran,0,0,0,0
3188,2020-01-18,Iran,0,0,0,0
3189,2020-01-19,Iran,0,0,0,0
3190,2020-01-20,Iran,0,0,0,0
3191,2020-01-21,Iran,0,0,0,0
3192,2020-01-22,Iran,0,0,0,0
3193,2020-01-23,Iran,0,0,0,0
3194,2020-01-24,Iran,0,0,0,0
3195,2020-01-25,Iran,0,0,0,0
3196,2020-01-26,Iran,0,0,0,0
3197,2020-01-27,Iran,0,0,0,0
3198,2020-01-28,Iran,0,0,0,0
3199,2020-01-29,Iran,0,0,0,0
3200,2020-01-30,Iran,0,0,0,0
3201,2020-01-31,Iran,0,0,0,0
3202,2020-02-01,Iran,0,0,0,0
3203,2020-02-02,Iran,0,0,0,0
3204,2020-02-03,Iran,0,0,0,0
3205,2020-02-04,Iran,0,0,0,0
3206,2020-02-05,Iran,0,0,0,0
3207,2020-02-06,Iran,0,0,0,0
3208,2020-02-07,Iran,0,0,0,0
3209,2020-02-08,Iran,0,0,0,0
3210,2020-02-09,Iran,0,0,0,0
3211,2020-02-10,Iran,0,0,0,0
3212,2020-02-11,Iran,0,0,0,0
3213,2020-02-12,Iran,0,0,0,0
3214,2020-02-13,Iran,0,0,0,0
3215,2020-02-14,Iran,0,0,0,0
3216,2020-02-15,Iran,0,0,0,0
3217,2020-02-16,Iran,0,0,0,0
3218,2020-02-17,Iran,0,0,0,0
3219,2020-02-18,Iran,0,0,0,0
3220,2020-02-19,Iran,0,0,0,0
3221,2020-02-20,Iran,2,2,2,2
3222,2020-02-21,Iran,3,0,5,2
3223,2020-02-22,Iran,13,2,18,4
3224,2020-02-23,Iran,10,1,28,5
3225,2020-02-24,Iran,15,3,43,8
3226,2020-02-25,Iran,18,4,61,12
3227,2020-02-26,Iran,34,3,95,15
3228,2020-02-27,Iran,44,4,139,19
3229,2020-02-28,Iran,106,7,245,26
3230,2020-02-29,Iran,143,8,388,34
3231,2020-03-01,Iran,205,9,593,43
3232,2020-03-02,Iran,385,11,978,54
3233,2020-03-03,Iran,523,12,1501,66
3234,2020-03-04,Iran,835,11,2336,77
3235,2020-03-05,Iran,586,15,2922,92
3236,2020-03-06,Iran,591,15,3513,107
3237,2020-03-07,Iran,1234,17,4747,124
3238,2020-03-08,Iran,1076,21,5823,145
3239,2020-03-09,Iran,743,49,6566,194
3240,2020-03-10,Iran,595,43,7161,237
3241,2020-03-11,Iran,881,54,8042,291
3242,2020-03-12,Iran,958,63,9000,354
3243,2020-03-13,Iran,1075,75,10075,429
3244,2020-03-14,Iran,1289,85,11364,514
3245,2020-03-15,Iran,1365,97,12729,611
3246,2020-03-16,Iran,1209,113,13938,724
3247,2020-03-17,Iran,1053,129,14991,853
3248,2020-03-18,Iran,1178,135,16169,988
3249,2020-03-19,Iran,1192,147,17361,1135
3250,2020-03-20,Iran,1046,149,18407,1284
3251,2020-03-21,Iran,1237,149,19644,1433
3252,2020-03-22,Iran,966,123,20610,1556
3253,2020-03-23,Iran,1028,129,21638,1685
3254,2020-03-24,Iran,1411,127,23049,1812
3255,2020-03-25,Iran,1762,122,24811,1934
3256,2020-03-26,Iran,2206,143,27017,2077
3257,2020-03-27,Iran,2389,157,29406,2234
3258,2020-03-28,Iran,2926,144,32332,2378
