,date,location,new_cases,new_deaths,total_cases,total_deaths
3616,2020-03-12,Jamaica,2,0,2,0
3617,2020-03-13,Jamaica,4,0,6,0
3618,2020-03-14,Jamaica,2,0,8,0
3619,2020-03-16,Jamaica,2,0,10,0
3620,2020-03-17,Jamaica,0,0,10,0
3621,2020-03-18,Jamaica,3,0,13,0
3622,2020-03-19,Jamaica,2,0,15,0
3623,2020-03-20,Jamaica,1,0,16,0
3624,2020-03-21,Jamaica,3,0,19,0
3625,2020-03-22,Jamaica,0,0,19,0
3626,2020-03-23,Jamaica,0,0,19,0
3627,2020-03-24,Jamaica,0,0,19,0
3628,2020-03-25,Jamaica,2,1,21,1
3629,2020-03-26,Jamaica,4,0,25,1
3630,2020-03-27,Jamaica,1,0,26,1
3631,2020-03-28,Jamaica,0,0,26,1
