,date,location,new_cases,new_deaths,total_cases,total_deaths
3730,2020-03-03,Jordan,1,0,1,0
3731,2020-03-08,Jordan,0,0,1,0
3732,2020-03-15,Jordan,0,0,1,0
3733,2020-03-16,Jordan,14,0,15,0
3734,2020-03-17,Jordan,1,0,16,0
3735,2020-03-18,Jordan,19,0,35,0
3736,2020-03-19,Jordan,17,0,52,0
3737,2020-03-20,Jordan,4,0,56,0
3738,2020-03-21,Jordan,13,0,69,0
3739,2020-03-22,Jordan,15,0,84,0
3740,2020-03-23,Jordan,15,0,99,0
3741,2020-03-24,Jordan,13,0,112,0
3742,2020-03-25,Jordan,15,0,127,0
3743,2020-03-26,Jordan,26,0,153,0
3744,2020-03-27,Jordan,19,0,172,0
3745,2020-03-28,Jordan,40,0,212,0
