,date,location,new_cases,new_deaths,total_cases,total_deaths
3760,2020-03-14,Kenya,1,0,1,0
3761,2020-03-15,Kenya,0,0,1,0
3762,2020-03-16,Kenya,2,0,3,0
3763,2020-03-17,Kenya,0,0,3,0
3764,2020-03-18,Kenya,1,0,4,0
3765,2020-03-19,Kenya,3,0,7,0
3766,2020-03-20,Kenya,0,0,7,0
3767,2020-03-21,Kenya,0,0,7,0
3768,2020-03-22,Kenya,0,0,7,0
3769,2020-03-23,Kenya,8,0,15,0
3770,2020-03-24,Kenya,1,0,16,0
3771,2020-03-25,Kenya,9,0,25,0
3772,2020-03-26,Kenya,0,0,25,0
3773,2020-03-27,Kenya,6,1,31,1
3774,2020-03-28,Kenya,0,0,31,1
