,date,location,new_cases,new_deaths,total_cases,total_deaths
3788,2019-12-31,Kuwait,0,0,0,0
3789,2020-01-01,Kuwait,0,0,0,0
3790,2020-01-02,Kuwait,0,0,0,0
3791,2020-01-03,Kuwait,0,0,0,0
3792,2020-01-04,Kuwait,0,0,0,0
3793,2020-01-05,Kuwait,0,0,0,0
3794,2020-01-06,Kuwait,0,0,0,0
3795,2020-01-07,Kuwait,0,0,0,0
3796,2020-01-08,Kuwait,0,0,0,0
3797,2020-01-09,Kuwait,0,0,0,0
3798,2020-01-10,Kuwait,0,0,0,0
3799,2020-01-11,Kuwait,0,0,0,0
3800,2020-01-12,Kuwait,0,0,0,0
3801,2020-01-13,Kuwait,0,0,0,0
3802,2020-01-14,Kuwait,0,0,0,0
3803,2020-01-15,Kuwait,0,0,0,0
3804,2020-01-16,Kuwait,0,0,0,0
3805,2020-01-17,Kuwait,0,0,0,0
3806,2020-01-18,Kuwait,0,0,0,0
3807,2020-01-19,Kuwait,0,0,0,0
3808,2020-01-20,Kuwait,0,0,0,0
3809,2020-01-21,Kuwait,0,0,0,0
3810,2020-01-22,Kuwait,0,0,0,0
3811,2020-01-23,Kuwait,0,0,0,0
3812,2020-01-24,Kuwait,0,0,0,0
3813,2020-01-25,Kuwait,0,0,0,0
3814,2020-01-26,Kuwait,0,0,0,0
3815,2020-01-27,Kuwait,0,0,0,0
3816,2020-01-28,Kuwait,0,0,0,0
3817,2020-01-29,Kuwait,0,0,0,0
3818,2020-01-30,Kuwait,0,0,0,0
3819,2020-01-31,Kuwait,0,0,0,0
3820,2020-02-01,Kuwait,0,0,0,0
3821,2020-02-02,Kuwait,0,0,0,0
3822,2020-02-03,Kuwait,0,0,0,0
3823,2020-02-04,Kuwait,0,0,0,0
3824,2020-02-05,Kuwait,0,0,0,0
3825,2020-02-06,Kuwait,0,0,0,0
3826,2020-02-07,Kuwait,0,0,0,0
3827,2020-02-08,Kuwait,0,0,0,0
3828,2020-02-09,Kuwait,0,0,0,0
3829,2020-02-10,Kuwait,0,0,0,0
3830,2020-02-11,Kuwait,0,0,0,0
3831,2020-02-12,Kuwait,0,0,0,0
3832,2020-02-13,Kuwait,0,0,0,0
3833,2020-02-14,Kuwait,0,0,0,0
3834,2020-02-15,Kuwait,0,0,0,0
3835,2020-02-16,Kuwait,0,0,0,0
3836,2020-02-17,Kuwait,0,0,0,0
3837,2020-02-18,Kuwait,0,0,0,0
3838,2020-02-19,Kuwait,0,0,0,0
3839,2020-02-20,Kuwait,0,0,0,0
3840,2020-02-21,Kuwait,0,0,0,0
3841,2020-02-22,Kuwait,0,0,0,0
3842,2020-02-23,Kuwait,0,0,0,0
3843,2020-02-24,Kuwait,3,0,3,0
3844,2020-02-25,Kuwait,2,0,5,0
3845,2020-02-26,Kuwait,6,0,11,0
3846,2020-02-27,Kuwait,15,0,26,0
3847,2020-02-28,Kuwait,17,0,43,0
3848,2020-02-29,Kuwait,2,0,45,0
3849,2020-03-01,Kuwait,0,0,45,0
3850,2020-03-02,Kuwait,1,0,46,0
3851,2020-03-03,Kuwait,10,0,56,0
3852,2020-03-06,Kuwait,2,0,58,0
3853,2020-03-08,Kuwait,3,0,61,0
3854,2020-03-09,Kuwait,3,0,64,0
3855,2020-03-10,Kuwait,1,0,65,0
3856,2020-03-11,Kuwait,4,0,69,0
3857,2020-03-12,Kuwait,3,0,72,0
3858,2020-03-13,Kuwait,8,0,80,0
3859,2020-03-14,Kuwait,20,0,100,0
3860,2020-03-15,Kuwait,4,0,104,0
3861,2020-03-16,Kuwait,8,0,112,0
3862,2020-03-17,Kuwait,11,0,123,0
3863,2020-03-18,Kuwait,7,0,130,0
3864,2020-03-19,Kuwait,12,0,142,0
3865,2020-03-20,Kuwait,6,0,148,0
3866,2020-03-21,Kuwait,11,0,159,0
3867,2020-03-22,Kuwait,17,0,176,0
3868,2020-03-23,Kuwait,12,0,188,0
3869,2020-03-24,Kuwait,1,0,189,0
3870,2020-03-25,Kuwait,2,0,191,0
3871,2020-03-26,Kuwait,4,0,195,0
3872,2020-03-27,Kuwait,13,0,208,0
3873,2020-03-28,Kuwait,17,0,225,0
