,date,location,new_cases,new_deaths,total_cases,total_deaths
3910,2019-12-31,Lebanon,0,0,0,0
3911,2020-01-01,Lebanon,0,0,0,0
3912,2020-01-02,Lebanon,0,0,0,0
3913,2020-01-03,Lebanon,0,0,0,0
3914,2020-01-04,Lebanon,0,0,0,0
3915,2020-01-05,Lebanon,0,0,0,0
3916,2020-01-06,Lebanon,0,0,0,0
3917,2020-01-07,Lebanon,0,0,0,0
3918,2020-01-08,Lebanon,0,0,0,0
3919,2020-01-09,Lebanon,0,0,0,0
3920,2020-01-10,Lebanon,0,0,0,0
3921,2020-01-11,Lebanon,0,0,0,0
3922,2020-01-12,Lebanon,0,0,0,0
3923,2020-01-13,Lebanon,0,0,0,0
3924,2020-01-14,Lebanon,0,0,0,0
3925,2020-01-15,Lebanon,0,0,0,0
3926,2020-01-16,Lebanon,0,0,0,0
3927,2020-01-17,Lebanon,0,0,0,0
3928,2020-01-18,Lebanon,0,0,0,0
3929,2020-01-19,Lebanon,0,0,0,0
3930,2020-01-20,Lebanon,0,0,0,0
3931,2020-01-21,Lebanon,0,0,0,0
3932,2020-01-22,Lebanon,0,0,0,0
3933,2020-01-23,Lebanon,0,0,0,0
3934,2020-01-24,Lebanon,0,0,0,0
3935,2020-01-25,Lebanon,0,0,0,0
3936,2020-01-26,Lebanon,0,0,0,0
3937,2020-01-27,Lebanon,0,0,0,0
3938,2020-01-28,Lebanon,0,0,0,0
3939,2020-01-29,Lebanon,0,0,0,0
3940,2020-01-30,Lebanon,0,0,0,0
3941,2020-01-31,Lebanon,0,0,0,0
3942,2020-02-01,Lebanon,0,0,0,0
3943,2020-02-02,Lebanon,0,0,0,0
3944,2020-02-03,Lebanon,0,0,0,0
3945,2020-02-04,Lebanon,0,0,0,0
3946,2020-02-05,Lebanon,0,0,0,0
3947,2020-02-06,Lebanon,0,0,0,0
3948,2020-02-07,Lebanon,0,0,0,0
3949,2020-02-08,Lebanon,0,0,0,0
3950,2020-02-09,Lebanon,0,0,0,0
3951,2020-02-10,Lebanon,0,0,0,0
3952,2020-02-11,Lebanon,0,0,0,0
3953,2020-02-12,Lebanon,0,0,0,0
3954,2020-02-13,Lebanon,0,0,0,0
3955,2020-02-14,Lebanon,0,0,0,0
3956,2020-02-15,Lebanon,0,0,0,0
3957,2020-02-16,Lebanon,0,0,0,0
3958,2020-02-17,Lebanon,0,0,0,0
3959,2020-02-18,Lebanon,0,0,0,0
3960,2020-02-19,Lebanon,0,0,0,0
3961,2020-02-20,Lebanon,0,0,0,0
3962,2020-02-21,Lebanon,0,0,0,0
3963,2020-02-22,Lebanon,1,0,1,0
3964,2020-02-23,Lebanon,0,0,1,0
3965,2020-02-24,Lebanon,0,0,1,0
3966,2020-02-25,Lebanon,0,0,1,0
3967,2020-02-26,Lebanon,0,0,1,0
3968,2020-02-27,Lebanon,1,0,2,0
3969,2020-02-28,Lebanon,1,0,3,0
3970,2020-02-29,Lebanon,0,0,3,0
3971,2020-03-01,Lebanon,1,0,4,0
3972,2020-03-02,Lebanon,6,0,10,0
3973,2020-03-03,Lebanon,3,0,13,0
3974,2020-03-06,Lebanon,3,0,16,0
3975,2020-03-07,Lebanon,6,0,22,0
3976,2020-03-09,Lebanon,10,0,32,0
3977,2020-03-10,Lebanon,9,0,41,0
3978,2020-03-11,Lebanon,0,1,41,1
3979,2020-03-12,Lebanon,20,1,61,2
3980,2020-03-13,Lebanon,5,0,66,2
3981,2020-03-15,Lebanon,27,1,93,3
3982,2020-03-16,Lebanon,6,0,99,3
3983,2020-03-17,Lebanon,21,0,120,3
3984,2020-03-18,Lebanon,0,0,120,3
3985,2020-03-19,Lebanon,13,1,133,4
3986,2020-03-20,Lebanon,16,0,149,4
3987,2020-03-21,Lebanon,14,0,163,4
3988,2020-03-22,Lebanon,67,0,230,4
3989,2020-03-23,Lebanon,18,0,248,4
3990,2020-03-24,Lebanon,19,0,267,4
3991,2020-03-25,Lebanon,37,0,304,4
3992,2020-03-26,Lebanon,29,0,333,4
3993,2020-03-27,Lebanon,35,2,368,6
3994,2020-03-28,Lebanon,23,1,391,7
