,date,location,new_cases,new_deaths,total_cases,total_deaths
4029,2019-12-31,Lithuania,0,0,0,0
4030,2020-01-01,Lithuania,0,0,0,0
4031,2020-01-02,Lithuania,0,0,0,0
4032,2020-01-03,Lithuania,0,0,0,0
4033,2020-01-04,Lithuania,0,0,0,0
4034,2020-01-05,Lithuania,0,0,0,0
4035,2020-01-06,Lithuania,0,0,0,0
4036,2020-01-07,Lithuania,0,0,0,0
4037,2020-01-08,Lithuania,0,0,0,0
4038,2020-01-09,Lithuania,0,0,0,0
4039,2020-01-10,Lithuania,0,0,0,0
4040,2020-01-11,Lithuania,0,0,0,0
4041,2020-01-12,Lithuania,0,0,0,0
4042,2020-01-13,Lithuania,0,0,0,0
4043,2020-01-14,Lithuania,0,0,0,0
4044,2020-01-15,Lithuania,0,0,0,0
4045,2020-01-16,Lithuania,0,0,0,0
4046,2020-01-17,Lithuania,0,0,0,0
4047,2020-01-18,Lithuania,0,0,0,0
4048,2020-01-19,Lithuania,0,0,0,0
4049,2020-01-20,Lithuania,0,0,0,0
4050,2020-01-21,Lithuania,0,0,0,0
4051,2020-01-22,Lithuania,0,0,0,0
4052,2020-01-23,Lithuania,0,0,0,0
4053,2020-01-24,Lithuania,0,0,0,0
4054,2020-01-25,Lithuania,0,0,0,0
4055,2020-01-26,Lithuania,0,0,0,0
4056,2020-01-27,Lithuania,0,0,0,0
4057,2020-01-28,Lithuania,0,0,0,0
4058,2020-01-29,Lithuania,0,0,0,0
4059,2020-01-30,Lithuania,0,0,0,0
4060,2020-01-31,Lithuania,0,0,0,0
4061,2020-02-01,Lithuania,0,0,0,0
4062,2020-02-02,Lithuania,0,0,0,0
4063,2020-02-03,Lithuania,0,0,0,0
4064,2020-02-04,Lithuania,0,0,0,0
4065,2020-02-05,Lithuania,0,0,0,0
4066,2020-02-06,Lithuania,0,0,0,0
4067,2020-02-07,Lithuania,0,0,0,0
4068,2020-02-08,Lithuania,0,0,0,0
4069,2020-02-09,Lithuania,0,0,0,0
4070,2020-02-10,Lithuania,0,0,0,0
4071,2020-02-11,Lithuania,0,0,0,0
4072,2020-02-12,Lithuania,0,0,0,0
4073,2020-02-13,Lithuania,0,0,0,0
4074,2020-02-14,Lithuania,0,0,0,0
4075,2020-02-15,Lithuania,0,0,0,0
4076,2020-02-16,Lithuania,0,0,0,0
4077,2020-02-17,Lithuania,0,0,0,0
4078,2020-02-18,Lithuania,0,0,0,0
4079,2020-02-19,Lithuania,0,0,0,0
4080,2020-02-20,Lithuania,0,0,0,0
4081,2020-02-21,Lithuania,0,0,0,0
4082,2020-02-22,Lithuania,0,0,0,0
4083,2020-02-23,Lithuania,0,0,0,0
4084,2020-02-24,Lithuania,0,0,0,0
4085,2020-02-25,Lithuania,0,0,0,0
4086,2020-02-26,Lithuania,0,0,0,0
4087,2020-02-27,Lithuania,0,0,0,0
4088,2020-02-28,Lithuania,1,0,1,0
4089,2020-02-29,Lithuania,0,0,1,0
4090,2020-03-01,Lithuania,0,0,1,0
4091,2020-03-02,Lithuania,0,0,1,0
4092,2020-03-11,Lithuania,2,0,3,0
4093,2020-03-12,Lithuania,0,0,3,0
4094,2020-03-14,Lithuania,3,0,6,0
4095,2020-03-15,Lithuania,3,0,9,0
4096,2020-03-16,Lithuania,5,0,14,0
4097,2020-03-17,Lithuania,3,0,17,0
4098,2020-03-18,Lithuania,8,0,25,0
4099,2020-03-19,Lithuania,8,0,33,0
4100,2020-03-20,Lithuania,15,0,48,0
4101,2020-03-21,Lithuania,21,1,69,1
4102,2020-03-22,Lithuania,36,0,105,1
4103,2020-03-23,Lithuania,38,0,143,1
4104,2020-03-24,Lithuania,36,0,179,1
4105,2020-03-25,Lithuania,30,1,209,2
4106,2020-03-26,Lithuania,65,2,274,4
4107,2020-03-27,Lithuania,25,0,299,4
4108,2020-03-28,Lithuania,59,1,358,5
