,date,location,new_cases,new_deaths,total_cases,total_deaths
4191,2019-12-31,Macedonia,0,0,0,0
4192,2020-01-01,Macedonia,0,0,0,0
4193,2020-01-02,Macedonia,0,0,0,0
4194,2020-01-03,Macedonia,0,0,0,0
4195,2020-01-04,Macedonia,0,0,0,0
4196,2020-01-05,Macedonia,0,0,0,0
4197,2020-01-06,Macedonia,0,0,0,0
4198,2020-01-07,Macedonia,0,0,0,0
4199,2020-01-08,Macedonia,0,0,0,0
4200,2020-01-09,Macedonia,0,0,0,0
4201,2020-01-10,Macedonia,0,0,0,0
4202,2020-01-11,Macedonia,0,0,0,0
4203,2020-01-12,Macedonia,0,0,0,0
4204,2020-01-13,Macedonia,0,0,0,0
4205,2020-01-14,Macedonia,0,0,0,0
4206,2020-01-15,Macedonia,0,0,0,0
4207,2020-01-16,Macedonia,0,0,0,0
4208,2020-01-17,Macedonia,0,0,0,0
4209,2020-01-18,Macedonia,0,0,0,0
4210,2020-01-19,Macedonia,0,0,0,0
4211,2020-01-20,Macedonia,0,0,0,0
4212,2020-01-21,Macedonia,0,0,0,0
4213,2020-01-22,Macedonia,0,0,0,0
4214,2020-01-23,Macedonia,0,0,0,0
4215,2020-01-24,Macedonia,0,0,0,0
4216,2020-01-25,Macedonia,0,0,0,0
4217,2020-01-26,Macedonia,0,0,0,0
4218,2020-01-27,Macedonia,0,0,0,0
4219,2020-01-28,Macedonia,0,0,0,0
4220,2020-01-29,Macedonia,0,0,0,0
4221,2020-01-30,Macedonia,0,0,0,0
4222,2020-01-31,Macedonia,0,0,0,0
4223,2020-02-01,Macedonia,0,0,0,0
4224,2020-02-02,Macedonia,0,0,0,0
4225,2020-02-03,Macedonia,0,0,0,0
4226,2020-02-04,Macedonia,0,0,0,0
4227,2020-02-05,Macedonia,0,0,0,0
4228,2020-02-06,Macedonia,0,0,0,0
4229,2020-02-07,Macedonia,0,0,0,0
4230,2020-02-08,Macedonia,0,0,0,0
4231,2020-02-09,Macedonia,0,0,0,0
4232,2020-02-10,Macedonia,0,0,0,0
4233,2020-02-11,Macedonia,0,0,0,0
4234,2020-02-12,Macedonia,0,0,0,0
4235,2020-02-13,Macedonia,0,0,0,0
4236,2020-02-14,Macedonia,0,0,0,0
4237,2020-02-15,Macedonia,0,0,0,0
4238,2020-02-16,Macedonia,0,0,0,0
4239,2020-02-17,Macedonia,0,0,0,0
4240,2020-02-18,Macedonia,0,0,0,0
4241,2020-02-19,Macedonia,0,0,0,0
4242,2020-02-20,Macedonia,0,0,0,0
4243,2020-02-21,Macedonia,0,0,0,0
4244,2020-02-22,Macedonia,0,0,0,0
4245,2020-02-23,Macedonia,0,0,0,0
4246,2020-02-24,Macedonia,0,0,0,0
4247,2020-02-25,Macedonia,0,0,0,0
4248,2020-02-26,Macedonia,0,0,0,0
4249,2020-02-27,Macedonia,1,0,1,0
4250,2020-02-28,Macedonia,0,0,1,0
4251,2020-02-29,Macedonia,0,0,1,0
4252,2020-03-01,Macedonia,0,0,1,0
4253,2020-03-02,Macedonia,0,0,1,0
4254,2020-03-07,Macedonia,2,0,3,0
4255,2020-03-11,Macedonia,4,0,7,0
4256,2020-03-13,Macedonia,2,0,9,0
4257,2020-03-14,Macedonia,4,0,13,0
4258,2020-03-16,Macedonia,0,0,13,0
4259,2020-03-17,Macedonia,6,0,19,0
4260,2020-03-18,Macedonia,12,0,31,0
4261,2020-03-19,Macedonia,11,0,42,0
4262,2020-03-20,Macedonia,6,0,48,0
4263,2020-03-21,Macedonia,22,0,70,0
4264,2020-03-22,Macedonia,15,0,85,0
4265,2020-03-23,Macedonia,29,1,114,1
4266,2020-03-24,Macedonia,22,1,136,2
4267,2020-03-25,Macedonia,12,0,148,2
4268,2020-03-26,Macedonia,29,0,177,2
4269,2020-03-27,Macedonia,24,1,201,3
4270,2020-03-28,Macedonia,18,0,219,3
