,date,location,new_cases,new_deaths,total_cases,total_deaths
4279,2019-12-31,Malaysia,0,0,0,0
4280,2020-01-01,Malaysia,0,0,0,0
4281,2020-01-02,Malaysia,0,0,0,0
4282,2020-01-03,Malaysia,0,0,0,0
4283,2020-01-04,Malaysia,0,0,0,0
4284,2020-01-05,Malaysia,0,0,0,0
4285,2020-01-06,Malaysia,0,0,0,0
4286,2020-01-07,Malaysia,0,0,0,0
4287,2020-01-08,Malaysia,0,0,0,0
4288,2020-01-09,Malaysia,0,0,0,0
4289,2020-01-10,Malaysia,0,0,0,0
4290,2020-01-11,Malaysia,0,0,0,0
4291,2020-01-12,Malaysia,0,0,0,0
4292,2020-01-13,Malaysia,0,0,0,0
4293,2020-01-14,Malaysia,0,0,0,0
4294,2020-01-15,Malaysia,0,0,0,0
4295,2020-01-16,Malaysia,0,0,0,0
4296,2020-01-17,Malaysia,0,0,0,0
4297,2020-01-18,Malaysia,0,0,0,0
4298,2020-01-19,Malaysia,0,0,0,0
4299,2020-01-20,Malaysia,0,0,0,0
4300,2020-01-21,Malaysia,0,0,0,0
4301,2020-01-22,Malaysia,0,0,0,0
4302,2020-01-23,Malaysia,0,0,0,0
4303,2020-01-24,Malaysia,0,0,0,0
4304,2020-01-25,Malaysia,3,0,3,0
4305,2020-01-26,Malaysia,1,0,4,0
4306,2020-01-27,Malaysia,0,0,4,0
4307,2020-01-28,Malaysia,0,0,4,0
4308,2020-01-29,Malaysia,3,0,7,0
4309,2020-01-30,Malaysia,0,0,7,0
4310,2020-01-31,Malaysia,1,0,8,0
4311,2020-02-01,Malaysia,0,0,8,0
4312,2020-02-02,Malaysia,0,0,8,0
4313,2020-02-03,Malaysia,0,0,8,0
4314,2020-02-04,Malaysia,0,0,8,0
4315,2020-02-05,Malaysia,2,0,10,0
4316,2020-02-06,Malaysia,2,0,12,0
4317,2020-02-07,Malaysia,2,0,14,0
4318,2020-02-08,Malaysia,1,0,15,0
4319,2020-02-09,Malaysia,1,0,16,0
4320,2020-02-10,Malaysia,2,0,18,0
4321,2020-02-11,Malaysia,0,0,18,0
4322,2020-02-12,Malaysia,0,0,18,0
4323,2020-02-13,Malaysia,0,0,18,0
4324,2020-02-14,Malaysia,1,0,19,0
4325,2020-02-15,Malaysia,2,0,21,0
4326,2020-02-16,Malaysia,1,0,22,0
4327,2020-02-17,Malaysia,0,0,22,0
4328,2020-02-18,Malaysia,0,0,22,0
4329,2020-02-19,Malaysia,0,0,22,0
4330,2020-02-20,Malaysia,0,0,22,0
4331,2020-02-21,Malaysia,0,0,22,0
4332,2020-02-22,Malaysia,0,0,22,0
4333,2020-02-23,Malaysia,0,0,22,0
4334,2020-02-24,Malaysia,0,0,22,0
4335,2020-02-25,Malaysia,0,0,22,0
4336,2020-02-26,Malaysia,0,0,22,0
4337,2020-02-27,Malaysia,0,0,22,0
4338,2020-02-28,Malaysia,1,0,23,0
4339,2020-02-29,Malaysia,2,0,25,0
4340,2020-03-01,Malaysia,0,0,25,0
4341,2020-03-02,Malaysia,4,0,29,0
4342,2020-03-04,Malaysia,7,0,36,0
4343,2020-03-05,Malaysia,14,0,50,0
4344,2020-03-06,Malaysia,0,0,50,0
4345,2020-03-07,Malaysia,33,0,83,0
4346,2020-03-08,Malaysia,10,0,93,0
4347,2020-03-09,Malaysia,6,0,99,0
4348,2020-03-10,Malaysia,18,0,117,0
4349,2020-03-11,Malaysia,12,0,129,0
4350,2020-03-12,Malaysia,20,0,149,0
4351,2020-03-13,Malaysia,9,0,158,0
4352,2020-03-14,Malaysia,39,0,197,0
4353,2020-03-15,Malaysia,41,0,238,0
4354,2020-03-16,Malaysia,190,0,428,0
4355,2020-03-17,Malaysia,125,0,553,0
4356,2020-03-18,Malaysia,120,2,673,2
4357,2020-03-19,Malaysia,117,0,790,2
4358,2020-03-20,Malaysia,110,0,900,2
4359,2020-03-21,Malaysia,130,0,1030,2
4360,2020-03-22,Malaysia,153,2,1183,4
4361,2020-03-23,Malaysia,123,6,1306,10
4362,2020-03-24,Malaysia,212,4,1518,14
4363,2020-03-25,Malaysia,106,1,1624,15
4364,2020-03-26,Malaysia,172,4,1796,19
4365,2020-03-27,Malaysia,235,4,2031,23
4366,2020-03-28,Malaysia,130,3,2161,26
