,date,location,new_cases,new_deaths,total_cases,total_deaths
4389,2020-03-08,Malta,3,0,3,0
4390,2020-03-10,Malta,1,0,4,0
4391,2020-03-12,Malta,2,0,6,0
4392,2020-03-13,Malta,3,0,9,0
4393,2020-03-14,Malta,3,0,12,0
4394,2020-03-15,Malta,6,0,18,0
4395,2020-03-16,Malta,3,0,21,0
4396,2020-03-17,Malta,9,0,30,0
4397,2020-03-18,Malta,8,0,38,0
4398,2020-03-19,Malta,10,0,48,0
4399,2020-03-20,Malta,5,0,53,0
4400,2020-03-21,Malta,11,0,64,0
4401,2020-03-22,Malta,9,0,73,0
4402,2020-03-23,Malta,17,0,90,0
4403,2020-03-24,Malta,17,0,107,0
4404,2020-03-25,Malta,13,0,120,0
4405,2020-03-26,Malta,9,0,129,0
4406,2020-03-27,Malta,5,0,134,0
4407,2020-03-28,Malta,5,0,139,0
