,date,location,new_cases,new_deaths,total_cases,total_deaths
4408,2020-03-15,Mauritania,1,0,1,0
4409,2020-03-16,Mauritania,0,0,1,0
4410,2020-03-17,Mauritania,0,0,1,0
4411,2020-03-18,Mauritania,0,0,1,0
4412,2020-03-19,Mauritania,0,0,1,0
4413,2020-03-20,Mauritania,1,0,2,0
4414,2020-03-21,Mauritania,0,0,2,0
4415,2020-03-22,Mauritania,0,0,2,0
4416,2020-03-23,Mauritania,0,0,2,0
4417,2020-03-24,Mauritania,0,0,2,0
4418,2020-03-25,Mauritania,0,0,2,0
4419,2020-03-26,Mauritania,0,0,2,0
4420,2020-03-27,Mauritania,1,0,3,0
4421,2020-03-28,Mauritania,0,0,3,0
