,date,location,new_cases,new_deaths,total_cases,total_deaths
4431,2019-12-31,Mexico,0,0,0,0
4432,2020-01-01,Mexico,0,0,0,0
4433,2020-01-02,Mexico,0,0,0,0
4434,2020-01-03,Mexico,0,0,0,0
4435,2020-01-04,Mexico,0,0,0,0
4436,2020-01-05,Mexico,0,0,0,0
4437,2020-01-06,Mexico,0,0,0,0
4438,2020-01-07,Mexico,0,0,0,0
4439,2020-01-08,Mexico,0,0,0,0
4440,2020-01-09,Mexico,0,0,0,0
4441,2020-01-10,Mexico,0,0,0,0
4442,2020-01-11,Mexico,0,0,0,0
4443,2020-01-12,Mexico,0,0,0,0
4444,2020-01-13,Mexico,0,0,0,0
4445,2020-01-14,Mexico,0,0,0,0
4446,2020-01-15,Mexico,0,0,0,0
4447,2020-01-16,Mexico,0,0,0,0
4448,2020-01-17,Mexico,0,0,0,0
4449,2020-01-18,Mexico,0,0,0,0
4450,2020-01-19,Mexico,0,0,0,0
4451,2020-01-20,Mexico,0,0,0,0
4452,2020-01-21,Mexico,0,0,0,0
4453,2020-01-22,Mexico,0,0,0,0
4454,2020-01-23,Mexico,0,0,0,0
4455,2020-01-24,Mexico,0,0,0,0
4456,2020-01-25,Mexico,0,0,0,0
4457,2020-01-26,Mexico,0,0,0,0
4458,2020-01-27,Mexico,0,0,0,0
4459,2020-01-28,Mexico,0,0,0,0
4460,2020-01-29,Mexico,0,0,0,0
4461,2020-01-30,Mexico,0,0,0,0
4462,2020-01-31,Mexico,0,0,0,0
4463,2020-02-01,Mexico,0,0,0,0
4464,2020-02-02,Mexico,0,0,0,0
4465,2020-02-03,Mexico,0,0,0,0
4466,2020-02-04,Mexico,0,0,0,0
4467,2020-02-05,Mexico,0,0,0,0
4468,2020-02-06,Mexico,0,0,0,0
4469,2020-02-07,Mexico,0,0,0,0
4470,2020-02-08,Mexico,0,0,0,0
4471,2020-02-09,Mexico,0,0,0,0
4472,2020-02-10,Mexico,0,0,0,0
4473,2020-02-11,Mexico,0,0,0,0
4474,2020-02-12,Mexico,0,0,0,0
4475,2020-02-13,Mexico,0,0,0,0
4476,2020-02-14,Mexico,0,0,0,0
4477,2020-02-15,Mexico,0,0,0,0
4478,2020-02-16,Mexico,0,0,0,0
4479,2020-02-17,Mexico,0,0,0,0
4480,2020-02-18,Mexico,0,0,0,0
4481,2020-02-19,Mexico,0,0,0,0
4482,2020-02-20,Mexico,0,0,0,0
4483,2020-02-21,Mexico,0,0,0,0
4484,2020-02-22,Mexico,0,0,0,0
4485,2020-02-23,Mexico,0,0,0,0
4486,2020-02-24,Mexico,0,0,0,0
4487,2020-02-25,Mexico,0,0,0,0
4488,2020-02-26,Mexico,0,0,0,0
4489,2020-02-27,Mexico,0,0,0,0
4490,2020-02-28,Mexico,0,0,0,0
4491,2020-02-29,Mexico,2,0,2,0
4492,2020-03-01,Mexico,2,0,4,0
4493,2020-03-02,Mexico,1,0,5,0
4494,2020-03-09,Mexico,2,0,7,0
4495,2020-03-12,Mexico,4,0,11,0
4496,2020-03-13,Mexico,5,0,16,0
4497,2020-03-14,Mexico,10,0,26,0
4498,2020-03-15,Mexico,15,0,41,0
4499,2020-03-16,Mexico,12,0,53,0
4500,2020-03-17,Mexico,29,0,82,0
4501,2020-03-18,Mexico,11,0,93,0
4502,2020-03-19,Mexico,25,0,118,0
4503,2020-03-20,Mexico,46,0,164,0
4504,2020-03-21,Mexico,39,2,203,2
4505,2020-03-22,Mexico,48,0,251,2
4506,2020-03-23,Mexico,65,0,316,2
4507,2020-03-24,Mexico,51,2,367,4
4508,2020-03-25,Mexico,38,1,405,5
4509,2020-03-26,Mexico,70,0,475,5
4510,2020-03-27,Mexico,110,3,585,8
4511,2020-03-28,Mexico,132,4,717,12
