,date,location,new_cases,new_deaths,total_cases,total_deaths
4531,2019-12-31,Monaco,0,0,0,0
4532,2020-01-01,Monaco,0,0,0,0
4533,2020-01-02,Monaco,0,0,0,0
4534,2020-01-03,Monaco,0,0,0,0
4535,2020-01-04,Monaco,0,0,0,0
4536,2020-01-05,Monaco,0,0,0,0
4537,2020-01-06,Monaco,0,0,0,0
4538,2020-01-07,Monaco,0,0,0,0
4539,2020-01-08,Monaco,0,0,0,0
4540,2020-01-09,Monaco,0,0,0,0
4541,2020-01-10,Monaco,0,0,0,0
4542,2020-01-11,Monaco,0,0,0,0
4543,2020-01-12,Monaco,0,0,0,0
4544,2020-01-13,Monaco,0,0,0,0
4545,2020-01-14,Monaco,0,0,0,0
4546,2020-01-15,Monaco,0,0,0,0
4547,2020-01-16,Monaco,0,0,0,0
4548,2020-01-17,Monaco,0,0,0,0
4549,2020-01-18,Monaco,0,0,0,0
4550,2020-01-19,Monaco,0,0,0,0
4551,2020-01-20,Monaco,0,0,0,0
4552,2020-01-21,Monaco,0,0,0,0
4553,2020-01-22,Monaco,0,0,0,0
4554,2020-01-23,Monaco,0,0,0,0
4555,2020-01-24,Monaco,0,0,0,0
4556,2020-01-25,Monaco,0,0,0,0
4557,2020-01-26,Monaco,0,0,0,0
4558,2020-01-27,Monaco,0,0,0,0
4559,2020-01-28,Monaco,0,0,0,0
4560,2020-01-29,Monaco,0,0,0,0
4561,2020-01-30,Monaco,0,0,0,0
4562,2020-01-31,Monaco,0,0,0,0
4563,2020-02-01,Monaco,0,0,0,0
4564,2020-02-02,Monaco,0,0,0,0
4565,2020-02-03,Monaco,0,0,0,0
4566,2020-02-04,Monaco,0,0,0,0
4567,2020-02-05,Monaco,0,0,0,0
4568,2020-02-06,Monaco,0,0,0,0
4569,2020-02-07,Monaco,0,0,0,0
4570,2020-02-08,Monaco,0,0,0,0
4571,2020-02-09,Monaco,0,0,0,0
4572,2020-02-10,Monaco,0,0,0,0
4573,2020-02-11,Monaco,0,0,0,0
4574,2020-02-12,Monaco,0,0,0,0
4575,2020-02-13,Monaco,0,0,0,0
4576,2020-02-14,Monaco,0,0,0,0
4577,2020-02-15,Monaco,0,0,0,0
4578,2020-02-16,Monaco,0,0,0,0
4579,2020-02-17,Monaco,0,0,0,0
4580,2020-02-18,Monaco,0,0,0,0
4581,2020-02-19,Monaco,0,0,0,0
4582,2020-02-20,Monaco,0,0,0,0
4583,2020-02-21,Monaco,0,0,0,0
4584,2020-02-22,Monaco,0,0,0,0
4585,2020-02-23,Monaco,0,0,0,0
4586,2020-02-24,Monaco,0,0,0,0
4587,2020-02-25,Monaco,0,0,0,0
4588,2020-02-26,Monaco,0,0,0,0
4589,2020-02-27,Monaco,0,0,0,0
4590,2020-02-28,Monaco,0,0,0,0
4591,2020-02-29,Monaco,1,0,1,0
4592,2020-03-01,Monaco,0,0,1,0
4593,2020-03-02,Monaco,0,0,1,0
4594,2020-03-15,Monaco,2,0,3,0
4595,2020-03-16,Monaco,4,0,7,0
4596,2020-03-17,Monaco,2,0,9,0
4597,2020-03-18,Monaco,0,0,9,0
4598,2020-03-19,Monaco,0,0,9,0
4599,2020-03-20,Monaco,2,0,11,0
4600,2020-03-21,Monaco,1,0,12,0
4601,2020-03-22,Monaco,6,0,18,0
4602,2020-03-23,Monaco,5,0,23,0
4603,2020-03-24,Monaco,0,0,23,0
4604,2020-03-25,Monaco,4,0,27,0
4605,2020-03-26,Monaco,4,0,31,0
4606,2020-03-27,Monaco,2,0,33,0
4607,2020-03-28,Monaco,9,0,42,0
