,date,location,new_cases,new_deaths,total_cases,total_deaths
4640,2020-03-03,Morocco,1,0,1,0
4641,2020-03-06,Morocco,1,0,2,0
4642,2020-03-12,Morocco,3,1,5,1
4643,2020-03-13,Morocco,1,0,6,1
4644,2020-03-14,Morocco,1,0,7,1
4645,2020-03-15,Morocco,11,0,18,1
4646,2020-03-16,Morocco,10,0,28,1
4647,2020-03-17,Morocco,9,0,37,1
4648,2020-03-18,Morocco,7,1,44,2
4649,2020-03-19,Morocco,10,0,54,2
4650,2020-03-20,Morocco,9,0,63,2
4651,2020-03-21,Morocco,23,1,86,3
4652,2020-03-22,Morocco,10,0,96,3
4653,2020-03-23,Morocco,19,1,115,4
4654,2020-03-24,Morocco,19,0,134,4
4655,2020-03-25,Morocco,36,1,170,5
4656,2020-03-26,Morocco,55,1,225,6
4657,2020-03-27,Morocco,50,4,275,10
4658,2020-03-28,Morocco,70,13,345,23
