,date,location,new_cases,new_deaths,total_cases,total_deaths
4685,2019-12-31,Nepal,0,0,0,0
4686,2020-01-01,Nepal,0,0,0,0
4687,2020-01-02,Nepal,0,0,0,0
4688,2020-01-03,Nepal,0,0,0,0
4689,2020-01-04,Nepal,0,0,0,0
4690,2020-01-05,Nepal,0,0,0,0
4691,2020-01-06,Nepal,0,0,0,0
4692,2020-01-07,Nepal,0,0,0,0
4693,2020-01-08,Nepal,0,0,0,0
4694,2020-01-09,Nepal,0,0,0,0
4695,2020-01-10,Nepal,0,0,0,0
4696,2020-01-11,Nepal,0,0,0,0
4697,2020-01-12,Nepal,0,0,0,0
4698,2020-01-13,Nepal,0,0,0,0
4699,2020-01-14,Nepal,0,0,0,0
4700,2020-01-15,Nepal,0,0,0,0
4701,2020-01-16,Nepal,0,0,0,0
4702,2020-01-17,Nepal,0,0,0,0
4703,2020-01-18,Nepal,0,0,0,0
4704,2020-01-19,Nepal,0,0,0,0
4705,2020-01-20,Nepal,0,0,0,0
4706,2020-01-21,Nepal,0,0,0,0
4707,2020-01-22,Nepal,0,0,0,0
4708,2020-01-23,Nepal,0,0,0,0
4709,2020-01-24,Nepal,0,0,0,0
4710,2020-01-25,Nepal,1,0,1,0
4711,2020-01-26,Nepal,0,0,1,0
4712,2020-01-27,Nepal,0,0,1,0
4713,2020-01-28,Nepal,0,0,1,0
4714,2020-01-29,Nepal,0,0,1,0
4715,2020-01-30,Nepal,0,0,1,0
4716,2020-01-31,Nepal,0,0,1,0
4717,2020-02-01,Nepal,0,0,1,0
4718,2020-02-02,Nepal,0,0,1,0
4719,2020-02-03,Nepal,0,0,1,0
4720,2020-02-04,Nepal,0,0,1,0
4721,2020-02-05,Nepal,0,0,1,0
4722,2020-02-06,Nepal,0,0,1,0
4723,2020-02-07,Nepal,0,0,1,0
4724,2020-02-08,Nepal,0,0,1,0
4725,2020-02-09,Nepal,0,0,1,0
4726,2020-02-10,Nepal,0,0,1,0
4727,2020-02-11,Nepal,0,0,1,0
4728,2020-02-12,Nepal,0,0,1,0
4729,2020-02-13,Nepal,0,0,1,0
4730,2020-02-14,Nepal,0,0,1,0
4731,2020-02-15,Nepal,0,0,1,0
4732,2020-02-16,Nepal,0,0,1,0
4733,2020-02-17,Nepal,0,0,1,0
4734,2020-02-18,Nepal,0,0,1,0
4735,2020-02-19,Nepal,0,0,1,0
4736,2020-02-20,Nepal,0,0,1,0
4737,2020-02-21,Nepal,0,0,1,0
4738,2020-02-22,Nepal,0,0,1,0
4739,2020-02-23,Nepal,0,0,1,0
4740,2020-02-24,Nepal,0,0,1,0
4741,2020-02-25,Nepal,0,0,1,0
4742,2020-02-26,Nepal,0,0,1,0
4743,2020-02-27,Nepal,0,0,1,0
4744,2020-02-28,Nepal,0,0,1,0
4745,2020-02-29,Nepal,0,0,1,0
4746,2020-03-01,Nepal,0,0,1,0
4747,2020-03-02,Nepal,0,0,1,0
4748,2020-03-15,Nepal,0,0,1,0
4749,2020-03-17,Nepal,0,0,1,0
4750,2020-03-18,Nepal,0,0,1,0
4751,2020-03-19,Nepal,0,0,1,0
4752,2020-03-20,Nepal,0,0,1,0
4753,2020-03-21,Nepal,0,0,1,0
4754,2020-03-22,Nepal,0,0,1,0
4755,2020-03-23,Nepal,0,0,1,0
4756,2020-03-24,Nepal,1,0,2,0
4757,2020-03-25,Nepal,1,0,3,0
4758,2020-03-26,Nepal,0,0,3,0
4759,2020-03-27,Nepal,0,0,3,0
4760,2020-03-28,Nepal,0,0,3,0
