,date,location,new_cases,new_deaths,total_cases,total_deaths
4956,2019-12-31,Nigeria,0,0,0,0
4957,2020-01-01,Nigeria,0,0,0,0
4958,2020-01-02,Nigeria,0,0,0,0
4959,2020-01-03,Nigeria,0,0,0,0
4960,2020-01-04,Nigeria,0,0,0,0
4961,2020-01-05,Nigeria,0,0,0,0
4962,2020-01-06,Nigeria,0,0,0,0
4963,2020-01-07,Nigeria,0,0,0,0
4964,2020-01-08,Nigeria,0,0,0,0
4965,2020-01-09,Nigeria,0,0,0,0
4966,2020-01-10,Nigeria,0,0,0,0
4967,2020-01-11,Nigeria,0,0,0,0
4968,2020-01-12,Nigeria,0,0,0,0
4969,2020-01-13,Nigeria,0,0,0,0
4970,2020-01-14,Nigeria,0,0,0,0
4971,2020-01-15,Nigeria,0,0,0,0
4972,2020-01-16,Nigeria,0,0,0,0
4973,2020-01-17,Nigeria,0,0,0,0
4974,2020-01-18,Nigeria,0,0,0,0
4975,2020-01-19,Nigeria,0,0,0,0
4976,2020-01-20,Nigeria,0,0,0,0
4977,2020-01-21,Nigeria,0,0,0,0
4978,2020-01-22,Nigeria,0,0,0,0
4979,2020-01-23,Nigeria,0,0,0,0
4980,2020-01-24,Nigeria,0,0,0,0
4981,2020-01-25,Nigeria,0,0,0,0
4982,2020-01-26,Nigeria,0,0,0,0
4983,2020-01-27,Nigeria,0,0,0,0
4984,2020-01-28,Nigeria,0,0,0,0
4985,2020-01-29,Nigeria,0,0,0,0
4986,2020-01-30,Nigeria,0,0,0,0
4987,2020-01-31,Nigeria,0,0,0,0
4988,2020-02-01,Nigeria,0,0,0,0
4989,2020-02-02,Nigeria,0,0,0,0
4990,2020-02-03,Nigeria,0,0,0,0
4991,2020-02-04,Nigeria,0,0,0,0
4992,2020-02-05,Nigeria,0,0,0,0
4993,2020-02-06,Nigeria,0,0,0,0
4994,2020-02-07,Nigeria,0,0,0,0
4995,2020-02-08,Nigeria,0,0,0,0
4996,2020-02-09,Nigeria,0,0,0,0
4997,2020-02-10,Nigeria,0,0,0,0
4998,2020-02-11,Nigeria,0,0,0,0
4999,2020-02-12,Nigeria,0,0,0,0
5000,2020-02-13,Nigeria,0,0,0,0
5001,2020-02-14,Nigeria,0,0,0,0
5002,2020-02-15,Nigeria,0,0,0,0
5003,2020-02-16,Nigeria,0,0,0,0
5004,2020-02-17,Nigeria,0,0,0,0
5005,2020-02-18,Nigeria,0,0,0,0
5006,2020-02-19,Nigeria,0,0,0,0
5007,2020-02-20,Nigeria,0,0,0,0
5008,2020-02-21,Nigeria,0,0,0,0
5009,2020-02-22,Nigeria,0,0,0,0
5010,2020-02-23,Nigeria,0,0,0,0
5011,2020-02-24,Nigeria,0,0,0,0
5012,2020-02-25,Nigeria,0,0,0,0
5013,2020-02-26,Nigeria,0,0,0,0
5014,2020-02-27,Nigeria,0,0,0,0
5015,2020-02-28,Nigeria,1,0,1,0
5016,2020-02-29,Nigeria,0,0,1,0
5017,2020-03-01,Nigeria,0,0,1,0
5018,2020-03-02,Nigeria,0,0,1,0
5019,2020-03-10,Nigeria,1,0,2,0
5020,2020-03-15,Nigeria,0,0,2,0
5021,2020-03-16,Nigeria,0,0,2,0
5022,2020-03-17,Nigeria,0,0,2,0
5023,2020-03-18,Nigeria,1,0,3,0
5024,2020-03-19,Nigeria,5,0,8,0
5025,2020-03-20,Nigeria,0,0,8,0
5026,2020-03-21,Nigeria,4,0,12,0
5027,2020-03-22,Nigeria,10,0,22,0
5028,2020-03-23,Nigeria,8,0,30,0
5029,2020-03-24,Nigeria,10,1,40,1
5030,2020-03-25,Nigeria,4,0,44,1
5031,2020-03-26,Nigeria,7,0,51,1
5032,2020-03-27,Nigeria,14,0,65,1
5033,2020-03-28,Nigeria,16,0,81,1
