,date,location,new_cases,new_deaths,total_cases,total_deaths
5034,2019-12-31,Norway,0,0,0,0
5035,2020-01-01,Norway,0,0,0,0
5036,2020-01-02,Norway,0,0,0,0
5037,2020-01-03,Norway,0,0,0,0
5038,2020-01-04,Norway,0,0,0,0
5039,2020-01-05,Norway,0,0,0,0
5040,2020-01-06,Norway,0,0,0,0
5041,2020-01-07,Norway,0,0,0,0
5042,2020-01-08,Norway,0,0,0,0
5043,2020-01-09,Norway,0,0,0,0
5044,2020-01-10,Norway,0,0,0,0
5045,2020-01-11,Norway,0,0,0,0
5046,2020-01-12,Norway,0,0,0,0
5047,2020-01-13,Norway,0,0,0,0
5048,2020-01-14,Norway,0,0,0,0
5049,2020-01-15,Norway,0,0,0,0
5050,2020-01-16,Norway,0,0,0,0
5051,2020-01-17,Norway,0,0,0,0
5052,2020-01-18,Norway,0,0,0,0
5053,2020-01-19,Norway,0,0,0,0
5054,2020-01-20,Norway,0,0,0,0
5055,2020-01-21,Norway,0,0,0,0
5056,2020-01-22,Norway,0,0,0,0
5057,2020-01-23,Norway,0,0,0,0
5058,2020-01-24,Norway,0,0,0,0
5059,2020-01-25,Norway,0,0,0,0
5060,2020-01-26,Norway,0,0,0,0
5061,2020-01-27,Norway,0,0,0,0
5062,2020-01-28,Norway,0,0,0,0
5063,2020-01-29,Norway,0,0,0,0
5064,2020-01-30,Norway,0,0,0,0
5065,2020-01-31,Norway,0,0,0,0
5066,2020-02-01,Norway,0,0,0,0
5067,2020-02-02,Norway,0,0,0,0
5068,2020-02-03,Norway,0,0,0,0
5069,2020-02-04,Norway,0,0,0,0
5070,2020-02-05,Norway,0,0,0,0
5071,2020-02-06,Norway,0,0,0,0
5072,2020-02-07,Norway,0,0,0,0
5073,2020-02-08,Norway,0,0,0,0
5074,2020-02-09,Norway,0,0,0,0
5075,2020-02-10,Norway,0,0,0,0
5076,2020-02-11,Norway,0,0,0,0
5077,2020-02-12,Norway,0,0,0,0
5078,2020-02-13,Norway,0,0,0,0
5079,2020-02-14,Norway,0,0,0,0
5080,2020-02-15,Norway,0,0,0,0
5081,2020-02-16,Norway,0,0,0,0
5082,2020-02-17,Norway,0,0,0,0
5083,2020-02-18,Norway,0,0,0,0
5084,2020-02-19,Norway,0,0,0,0
5085,2020-02-20,Norway,0,0,0,0
5086,2020-02-21,Norway,0,0,0,0
5087,2020-02-22,Norway,0,0,0,0
5088,2020-02-23,Norway,0,0,0,0
5089,2020-02-24,Norway,0,0,0,0
5090,2020-02-25,Norway,0,0,0,0
5091,2020-02-26,Norway,0,0,0,0
5092,2020-02-27,Norway,1,0,1,0
5093,2020-02-28,Norway,3,0,4,0
5094,2020-02-29,Norway,2,0,6,0
5095,2020-03-01,Norway,9,0,15,0
5096,2020-03-02,Norway,4,0,19,0
5097,2020-03-03,Norway,6,0,25,0
5098,2020-03-04,Norway,8,0,33,0
5099,2020-03-05,Norway,23,0,56,0
5100,2020-03-06,Norway,30,0,86,0
5101,2020-03-07,Norway,27,0,113,0
5102,2020-03-08,Norway,34,0,147,0
5103,2020-03-09,Norway,22,0,169,0
5104,2020-03-10,Norway,23,0,192,0
5105,2020-03-11,Norway,85,0,277,0
5106,2020-03-12,Norway,212,0,489,0
5107,2020-03-13,Norway,132,1,621,1
5108,2020-03-14,Norway,0,0,621,1
5109,2020-03-15,Norway,286,0,907,1
5110,2020-03-16,Norway,170,0,1077,1
5111,2020-03-17,Norway,92,2,1169,3
5112,2020-03-18,Norway,139,0,1308,3
5113,2020-03-19,Norway,115,0,1423,3
5114,2020-03-20,Norway,129,3,1552,6
5115,2020-03-21,Norway,190,1,1742,7
5116,2020-03-22,Norway,184,0,1926,7
5117,2020-03-23,Norway,206,0,2132,7
5118,2020-03-24,Norway,239,1,2371,8
5119,2020-03-25,Norway,195,2,2566,10
5120,2020-03-26,Norway,350,2,2916,12
5121,2020-03-27,Norway,240,2,3156,14
5122,2020-03-28,Norway,425,2,3581,16
