,date,location,new_cases,new_deaths,total_cases,total_deaths
5311,2020-03-10,Panama,1,0,1,0
5312,2020-03-11,Panama,6,1,7,1
5313,2020-03-12,Panama,7,0,14,1
5314,2020-03-13,Panama,13,0,27,1
5315,2020-03-14,Panama,9,0,36,1
5316,2020-03-15,Panama,7,0,43,1
5317,2020-03-16,Panama,0,0,43,1
5318,2020-03-17,Panama,26,0,69,1
5319,2020-03-18,Panama,17,0,86,1
5320,2020-03-19,Panama,23,0,109,1
5321,2020-03-20,Panama,28,0,137,1
5322,2020-03-21,Panama,63,0,200,1
5323,2020-03-22,Panama,45,2,245,3
5324,2020-03-23,Panama,68,0,313,3
5325,2020-03-24,Panama,32,3,345,6
5326,2020-03-25,Panama,98,0,443,6
5327,2020-03-26,Panama,145,0,588,6
5328,2020-03-27,Panama,86,3,674,9
5329,2020-03-28,Panama,112,5,786,14
