,date,location,new_cases,new_deaths,total_cases,total_deaths
5355,2020-03-07,Peru,1,0,1,0
5356,2020-03-09,Peru,6,0,7,0
5357,2020-03-10,Peru,2,0,9,0
5358,2020-03-11,Peru,2,0,11,0
5359,2020-03-12,Peru,6,0,17,0
5360,2020-03-13,Peru,5,0,22,0
5361,2020-03-14,Peru,16,0,38,0
5362,2020-03-15,Peru,5,0,43,0
5363,2020-03-16,Peru,28,0,71,0
5364,2020-03-17,Peru,15,0,86,0
5365,2020-03-18,Peru,31,0,117,0
5366,2020-03-19,Peru,28,0,145,0
5367,2020-03-20,Peru,89,2,234,2
5368,2020-03-21,Peru,29,1,263,3
5369,2020-03-22,Peru,55,2,318,5
5370,2020-03-23,Peru,45,0,363,5
5371,2020-03-24,Peru,32,0,395,5
5372,2020-03-25,Peru,21,2,416,7
5373,2020-03-26,Peru,142,1,558,8
5374,2020-03-27,Peru,22,1,580,9
5375,2020-03-28,Peru,55,2,635,11
