,date,location,new_cases,new_deaths,total_cases,total_deaths
5376,2019-12-31,Philippines,0,0,0,0
5377,2020-01-01,Philippines,0,0,0,0
5378,2020-01-02,Philippines,0,0,0,0
5379,2020-01-03,Philippines,0,0,0,0
5380,2020-01-04,Philippines,0,0,0,0
5381,2020-01-05,Philippines,0,0,0,0
5382,2020-01-06,Philippines,0,0,0,0
5383,2020-01-07,Philippines,0,0,0,0
5384,2020-01-08,Philippines,0,0,0,0
5385,2020-01-09,Philippines,0,0,0,0
5386,2020-01-10,Philippines,0,0,0,0
5387,2020-01-11,Philippines,0,0,0,0
5388,2020-01-12,Philippines,0,0,0,0
5389,2020-01-13,Philippines,0,0,0,0
5390,2020-01-14,Philippines,0,0,0,0
5391,2020-01-15,Philippines,0,0,0,0
5392,2020-01-16,Philippines,0,0,0,0
5393,2020-01-17,Philippines,0,0,0,0
5394,2020-01-18,Philippines,0,0,0,0
5395,2020-01-19,Philippines,0,0,0,0
5396,2020-01-20,Philippines,0,0,0,0
5397,2020-01-21,Philippines,0,0,0,0
5398,2020-01-22,Philippines,0,0,0,0
5399,2020-01-23,Philippines,0,0,0,0
5400,2020-01-24,Philippines,0,0,0,0
5401,2020-01-25,Philippines,0,0,0,0
5402,2020-01-26,Philippines,0,0,0,0
5403,2020-01-27,Philippines,0,0,0,0
5404,2020-01-28,Philippines,0,0,0,0
5405,2020-01-29,Philippines,0,0,0,0
5406,2020-01-30,Philippines,1,0,1,0
5407,2020-01-31,Philippines,0,0,1,0
5408,2020-02-01,Philippines,0,0,1,0
5409,2020-02-02,Philippines,1,1,2,1
5410,2020-02-03,Philippines,0,0,2,1
5411,2020-02-04,Philippines,0,0,2,1
5412,2020-02-05,Philippines,0,0,2,1
5413,2020-02-06,Philippines,1,0,3,1
5414,2020-02-07,Philippines,0,0,3,1
5415,2020-02-08,Philippines,0,0,3,1
5416,2020-02-09,Philippines,0,0,3,1
5417,2020-02-10,Philippines,0,0,3,1
5418,2020-02-11,Philippines,0,0,3,1
5419,2020-02-12,Philippines,0,0,3,1
5420,2020-02-13,Philippines,0,0,3,1
5421,2020-02-14,Philippines,0,0,3,1
5422,2020-02-15,Philippines,0,0,3,1
5423,2020-02-16,Philippines,0,0,3,1
5424,2020-02-17,Philippines,0,0,3,1
5425,2020-02-18,Philippines,0,0,3,1
5426,2020-02-19,Philippines,0,0,3,1
5427,2020-02-20,Philippines,0,0,3,1
5428,2020-02-21,Philippines,0,0,3,1
5429,2020-02-22,Philippines,0,0,3,1
5430,2020-02-23,Philippines,0,0,3,1
5431,2020-02-24,Philippines,0,0,3,1
5432,2020-02-25,Philippines,0,0,3,1
5433,2020-02-26,Philippines,0,0,3,1
5434,2020-02-27,Philippines,0,0,3,1
5435,2020-02-28,Philippines,0,0,3,1
5436,2020-02-29,Philippines,0,0,3,1
5437,2020-03-01,Philippines,0,0,3,1
5438,2020-03-02,Philippines,0,0,3,1
5439,2020-03-07,Philippines,2,0,5,1
5440,2020-03-08,Philippines,1,0,6,1
5441,2020-03-09,Philippines,4,0,10,1
5442,2020-03-10,Philippines,23,0,33,1
5443,2020-03-11,Philippines,0,0,33,1
5444,2020-03-12,Philippines,16,1,49,2
5445,2020-03-13,Philippines,3,0,52,2
5446,2020-03-14,Philippines,12,4,64,6
5447,2020-03-15,Philippines,47,0,111,6
5448,2020-03-16,Philippines,29,6,140,12
5449,2020-03-17,Philippines,2,0,142,12
5450,2020-03-18,Philippines,45,2,187,14
5451,2020-03-19,Philippines,15,3,202,17
5452,2020-03-20,Philippines,28,1,230,18
5453,2020-03-21,Philippines,0,0,230,18
5454,2020-03-22,Philippines,150,7,380,25
5455,2020-03-23,Philippines,0,0,380,25
5456,2020-03-24,Philippines,82,8,462,33
5457,2020-03-25,Philippines,90,2,552,35
5458,2020-03-26,Philippines,84,3,636,38
5459,2020-03-27,Philippines,71,7,707,45
5460,2020-03-28,Philippines,96,9,803,54
