,date,location,new_cases,new_deaths,total_cases,total_deaths
5484,2020-03-03,Portugal,2,0,2,0
5485,2020-03-04,Portugal,2,0,4,0
5486,2020-03-05,Portugal,1,0,5,0
5487,2020-03-06,Portugal,4,0,9,0
5488,2020-03-07,Portugal,4,0,13,0
5489,2020-03-08,Portugal,8,0,21,0
5490,2020-03-09,Portugal,9,0,30,0
5491,2020-03-10,Portugal,9,0,39,0
5492,2020-03-11,Portugal,2,0,41,0
5493,2020-03-12,Portugal,18,0,59,0
5494,2020-03-13,Portugal,19,0,78,0
5495,2020-03-14,Portugal,34,0,112,0
5496,2020-03-15,Portugal,57,0,169,0
5497,2020-03-16,Portugal,76,0,245,0
5498,2020-03-17,Portugal,86,0,331,0
5499,2020-03-18,Portugal,117,1,448,1
5500,2020-03-19,Portugal,194,1,642,2
5501,2020-03-20,Portugal,143,1,785,3
5502,2020-03-21,Portugal,235,3,1020,6
5503,2020-03-22,Portugal,260,6,1280,12
5504,2020-03-23,Portugal,320,2,1600,14
5505,2020-03-24,Portugal,460,9,2060,23
5506,2020-03-25,Portugal,302,10,2362,33
5507,2020-03-26,Portugal,633,10,2995,43
5508,2020-03-27,Portugal,549,17,3544,60
5509,2020-03-28,Portugal,724,16,4268,76
