,date,location,new_cases,new_deaths,total_cases,total_deaths
5596,2019-12-31,Romania,0,0,0,0
5597,2020-01-01,Romania,0,0,0,0
5598,2020-01-02,Romania,0,0,0,0
5599,2020-01-03,Romania,0,0,0,0
5600,2020-01-04,Romania,0,0,0,0
5601,2020-01-05,Romania,0,0,0,0
5602,2020-01-06,Romania,0,0,0,0
5603,2020-01-07,Romania,0,0,0,0
5604,2020-01-08,Romania,0,0,0,0
5605,2020-01-09,Romania,0,0,0,0
5606,2020-01-10,Romania,0,0,0,0
5607,2020-01-11,Romania,0,0,0,0
5608,2020-01-12,Romania,0,0,0,0
5609,2020-01-13,Romania,0,0,0,0
5610,2020-01-14,Romania,0,0,0,0
5611,2020-01-15,Romania,0,0,0,0
5612,2020-01-16,Romania,0,0,0,0
5613,2020-01-17,Romania,0,0,0,0
5614,2020-01-18,Romania,0,0,0,0
5615,2020-01-19,Romania,0,0,0,0
5616,2020-01-20,Romania,0,0,0,0
5617,2020-01-21,Romania,0,0,0,0
5618,2020-01-22,Romania,0,0,0,0
5619,2020-01-23,Romania,0,0,0,0
5620,2020-01-24,Romania,0,0,0,0
5621,2020-01-25,Romania,0,0,0,0
5622,2020-01-26,Romania,0,0,0,0
5623,2020-01-27,Romania,0,0,0,0
5624,2020-01-28,Romania,0,0,0,0
5625,2020-01-29,Romania,0,0,0,0
5626,2020-01-30,Romania,0,0,0,0
5627,2020-01-31,Romania,0,0,0,0
5628,2020-02-01,Romania,0,0,0,0
5629,2020-02-02,Romania,0,0,0,0
5630,2020-02-03,Romania,0,0,0,0
5631,2020-02-04,Romania,0,0,0,0
5632,2020-02-05,Romania,0,0,0,0
5633,2020-02-06,Romania,0,0,0,0
5634,2020-02-07,Romania,0,0,0,0
5635,2020-02-08,Romania,0,0,0,0
5636,2020-02-09,Romania,0,0,0,0
5637,2020-02-10,Romania,0,0,0,0
5638,2020-02-11,Romania,0,0,0,0
5639,2020-02-12,Romania,0,0,0,0
5640,2020-02-13,Romania,0,0,0,0
5641,2020-02-14,Romania,0,0,0,0
5642,2020-02-15,Romania,0,0,0,0
5643,2020-02-16,Romania,0,0,0,0
5644,2020-02-17,Romania,0,0,0,0
5645,2020-02-18,Romania,0,0,0,0
5646,2020-02-19,Romania,0,0,0,0
5647,2020-02-20,Romania,0,0,0,0
5648,2020-02-21,Romania,0,0,0,0
5649,2020-02-22,Romania,0,0,0,0
5650,2020-02-23,Romania,0,0,0,0
5651,2020-02-24,Romania,0,0,0,0
5652,2020-02-25,Romania,0,0,0,0
5653,2020-02-26,Romania,0,0,0,0
5654,2020-02-27,Romania,1,0,1,0
5655,2020-02-28,Romania,0,0,1,0
5656,2020-02-29,Romania,2,0,3,0
5657,2020-03-01,Romania,0,0,3,0
5658,2020-03-02,Romania,0,0,3,0
5659,2020-03-04,Romania,1,0,4,0
5660,2020-03-06,Romania,2,0,6,0
5661,2020-03-07,Romania,1,0,7,0
5662,2020-03-08,Romania,6,0,13,0
5663,2020-03-09,Romania,2,0,15,0
5664,2020-03-10,Romania,2,0,17,0
5665,2020-03-11,Romania,8,0,25,0
5666,2020-03-12,Romania,20,0,45,0
5667,2020-03-13,Romania,19,0,64,0
5668,2020-03-14,Romania,25,0,89,0
5669,2020-03-15,Romania,24,0,113,0
5670,2020-03-16,Romania,26,0,139,0
5671,2020-03-17,Romania,45,0,184,0
5672,2020-03-18,Romania,33,0,217,0
5673,2020-03-19,Romania,43,0,260,0
5674,2020-03-20,Romania,17,0,277,0
5675,2020-03-21,Romania,31,0,308,0
5676,2020-03-22,Romania,59,0,367,0
5677,2020-03-23,Romania,66,2,433,2
5678,2020-03-24,Romania,143,5,576,7
5679,2020-03-25,Romania,186,4,762,11
5680,2020-03-26,Romania,144,2,906,13
5681,2020-03-27,Romania,123,4,1029,17
5682,2020-03-28,Romania,263,7,1292,24
