,date,location,new_cases,new_deaths,total_cases,total_deaths
5767,2020-03-15,Rwanda,1,0,1,0
5768,2020-03-16,Rwanda,4,0,5,0
5769,2020-03-17,Rwanda,0,0,5,0
5770,2020-03-18,Rwanda,2,0,7,0
5771,2020-03-19,Rwanda,4,0,11,0
5772,2020-03-20,Rwanda,0,0,11,0
5773,2020-03-21,Rwanda,6,0,17,0
5774,2020-03-22,Rwanda,0,0,17,0
5775,2020-03-23,Rwanda,2,0,19,0
5776,2020-03-24,Rwanda,17,0,36,0
5777,2020-03-25,Rwanda,4,0,40,0
5778,2020-03-26,Rwanda,1,0,41,0
5779,2020-03-27,Rwanda,9,0,50,0
5780,2020-03-28,Rwanda,4,0,54,0
