,date,location,new_cases,new_deaths,total_cases,total_deaths
5891,2020-03-03,Saudi Arabia,1,0,1,0
5892,2020-03-06,Saudi Arabia,4,0,5,0
5893,2020-03-08,Saudi Arabia,2,0,7,0
5894,2020-03-09,Saudi Arabia,4,0,11,0
5895,2020-03-10,Saudi Arabia,4,0,15,0
5896,2020-03-11,Saudi Arabia,5,0,20,0
5897,2020-03-12,Saudi Arabia,25,0,45,0
5898,2020-03-13,Saudi Arabia,17,0,62,0
5899,2020-03-14,Saudi Arabia,24,0,86,0
5900,2020-03-15,Saudi Arabia,0,0,86,0
5901,2020-03-16,Saudi Arabia,32,0,118,0
5902,2020-03-17,Saudi Arabia,15,0,133,0
5903,2020-03-18,Saudi Arabia,0,0,133,0
5904,2020-03-19,Saudi Arabia,38,0,171,0
5905,2020-03-20,Saudi Arabia,67,0,238,0
5906,2020-03-21,Saudi Arabia,36,0,274,0
5907,2020-03-22,Saudi Arabia,118,0,392,0
5908,2020-03-23,Saudi Arabia,119,0,511,0
5909,2020-03-24,Saudi Arabia,51,0,562,0
5910,2020-03-25,Saudi Arabia,205,1,767,1
5911,2020-03-26,Saudi Arabia,133,1,900,2
5912,2020-03-27,Saudi Arabia,112,1,1012,3
5913,2020-03-28,Saudi Arabia,92,0,1104,3
