,date,location,new_cases,new_deaths,total_cases,total_deaths
5914,2020-03-03,Senegal,1,0,1,0
5915,2020-03-05,Senegal,2,0,3,0
5916,2020-03-06,Senegal,1,0,4,0
5917,2020-03-13,Senegal,2,0,6,0
5918,2020-03-14,Senegal,13,0,19,0
5919,2020-03-15,Senegal,2,0,21,0
5920,2020-03-16,Senegal,5,0,26,0
5921,2020-03-17,Senegal,1,0,27,0
5922,2020-03-18,Senegal,4,0,31,0
5923,2020-03-19,Senegal,5,0,36,0
5924,2020-03-20,Senegal,0,0,36,0
5925,2020-03-21,Senegal,11,0,47,0
5926,2020-03-22,Senegal,9,0,56,0
5927,2020-03-23,Senegal,11,0,67,0
5928,2020-03-24,Senegal,12,0,79,0
5929,2020-03-25,Senegal,7,0,86,0
5930,2020-03-26,Senegal,13,0,99,0
5931,2020-03-27,Senegal,6,0,105,0
5932,2020-03-28,Senegal,14,0,119,0
