,date,location,new_cases,new_deaths,total_cases,total_deaths
5933,2020-03-07,Serbia,1,0,1,0
5934,2020-03-11,Serbia,4,0,5,0
5935,2020-03-12,Serbia,13,0,18,0
5936,2020-03-13,Serbia,6,0,24,0
5937,2020-03-14,Serbia,17,0,41,0
5938,2020-03-15,Serbia,5,0,46,0
5939,2020-03-16,Serbia,9,0,55,0
5940,2020-03-17,Serbia,2,0,57,0
5941,2020-03-18,Serbia,15,0,72,0
5942,2020-03-19,Serbia,22,0,94,0
5943,2020-03-20,Serbia,32,0,126,0
5944,2020-03-21,Serbia,9,1,135,1
5945,2020-03-22,Serbia,14,0,149,1
5946,2020-03-23,Serbia,39,0,188,1
5947,2020-03-24,Serbia,34,0,222,1
5948,2020-03-25,Serbia,27,0,249,1
5949,2020-03-26,Serbia,54,1,303,2
5950,2020-03-27,Serbia,81,1,384,3
5951,2020-03-28,Serbia,73,3,457,6
