,date,location,new_cases,new_deaths,total_cases,total_deaths
6059,2020-03-07,Slovakia,1,0,1,0
6060,2020-03-08,Slovakia,2,0,3,0
6061,2020-03-09,Slovakia,2,0,5,0
6062,2020-03-11,Slovakia,2,0,7,0
6063,2020-03-12,Slovakia,3,0,10,0
6064,2020-03-13,Slovakia,11,0,21,0
6065,2020-03-14,Slovakia,9,0,30,0
6066,2020-03-15,Slovakia,14,0,44,0
6067,2020-03-16,Slovakia,17,0,61,0
6068,2020-03-17,Slovakia,23,0,84,0
6069,2020-03-18,Slovakia,13,0,97,0
6070,2020-03-19,Slovakia,10,0,107,0
6071,2020-03-20,Slovakia,16,0,123,0
6072,2020-03-21,Slovakia,14,0,137,0
6073,2020-03-22,Slovakia,41,0,178,0
6074,2020-03-23,Slovakia,7,0,185,0
6075,2020-03-24,Slovakia,6,0,191,0
6076,2020-03-25,Slovakia,13,0,204,0
6077,2020-03-26,Slovakia,12,0,216,0
6078,2020-03-27,Slovakia,10,0,226,0
6079,2020-03-28,Slovakia,69,0,295,0
