,date,location,new_cases,new_deaths,total_cases,total_deaths
6225,2019-12-31,Spain,0,0,0,0
6226,2020-01-01,Spain,0,0,0,0
6227,2020-01-02,Spain,0,0,0,0
6228,2020-01-03,Spain,0,0,0,0
6229,2020-01-04,Spain,0,0,0,0
6230,2020-01-05,Spain,0,0,0,0
6231,2020-01-06,Spain,0,0,0,0
6232,2020-01-07,Spain,0,0,0,0
6233,2020-01-08,Spain,0,0,0,0
6234,2020-01-09,Spain,0,0,0,0
6235,2020-01-10,Spain,0,0,0,0
6236,2020-01-11,Spain,0,0,0,0
6237,2020-01-12,Spain,0,0,0,0
6238,2020-01-13,Spain,0,0,0,0
6239,2020-01-14,Spain,0,0,0,0
6240,2020-01-15,Spain,0,0,0,0
6241,2020-01-16,Spain,0,0,0,0
6242,2020-01-17,Spain,0,0,0,0
6243,2020-01-18,Spain,0,0,0,0
6244,2020-01-19,Spain,0,0,0,0
6245,2020-01-20,Spain,0,0,0,0
6246,2020-01-21,Spain,0,0,0,0
6247,2020-01-22,Spain,0,0,0,0
6248,2020-01-23,Spain,0,0,0,0
6249,2020-01-24,Spain,0,0,0,0
6250,2020-01-25,Spain,0,0,0,0
6251,2020-01-26,Spain,0,0,0,0
6252,2020-01-27,Spain,0,0,0,0
6253,2020-01-28,Spain,0,0,0,0
6254,2020-01-29,Spain,0,0,0,0
6255,2020-01-30,Spain,0,0,0,0
6256,2020-01-31,Spain,0,0,0,0
6257,2020-02-01,Spain,1,0,1,0
6258,2020-02-02,Spain,0,0,1,0
6259,2020-02-03,Spain,0,0,1,0
6260,2020-02-04,Spain,0,0,1,0
6261,2020-02-05,Spain,0,0,1,0
6262,2020-02-06,Spain,0,0,1,0
6263,2020-02-07,Spain,0,0,1,0
6264,2020-02-08,Spain,0,0,1,0
6265,2020-02-09,Spain,0,0,1,0
6266,2020-02-10,Spain,1,0,2,0
6267,2020-02-11,Spain,0,0,2,0
6268,2020-02-12,Spain,0,0,2,0
6269,2020-02-13,Spain,0,0,2,0
6270,2020-02-14,Spain,0,0,2,0
6271,2020-02-15,Spain,0,0,2,0
6272,2020-02-16,Spain,0,0,2,0
6273,2020-02-17,Spain,0,0,2,0
6274,2020-02-18,Spain,0,0,2,0
6275,2020-02-19,Spain,0,0,2,0
6276,2020-02-20,Spain,0,0,2,0
6277,2020-02-21,Spain,0,0,2,0
6278,2020-02-22,Spain,0,0,2,0
6279,2020-02-23,Spain,0,0,2,0
6280,2020-02-24,Spain,0,0,2,0
6281,2020-02-25,Spain,1,0,3,0
6282,2020-02-26,Spain,4,0,7,0
6283,2020-02-27,Spain,5,0,12,0
6284,2020-02-28,Spain,13,0,25,0
6285,2020-02-29,Spain,9,0,34,0
6286,2020-03-01,Spain,32,0,66,0
6287,2020-03-02,Spain,17,0,83,0
6288,2020-03-03,Spain,31,0,114,0
6289,2020-03-04,Spain,37,0,151,0
6290,2020-03-05,Spain,49,1,200,1
6291,2020-03-06,Spain,61,2,261,3
6292,2020-03-07,Spain,113,2,374,5
6293,2020-03-08,Spain,56,0,430,5
6294,2020-03-09,Spain,159,0,589,5
6295,2020-03-10,Spain,615,23,1204,28
6296,2020-03-11,Spain,435,7,1639,35
6297,2020-03-12,Spain,501,12,2140,47
6298,2020-03-13,Spain,864,37,3004,84
6299,2020-03-14,Spain,1227,37,4231,121
6300,2020-03-15,Spain,1522,15,5753,136
6301,2020-03-16,Spain,2000,152,7753,288
6302,2020-03-17,Spain,1438,21,9191,309
6303,2020-03-18,Spain,1987,182,11178,491
6304,2020-03-19,Spain,2538,107,13716,598
6305,2020-03-20,Spain,3431,169,17147,767
6306,2020-03-21,Spain,2833,235,19980,1002
6307,2020-03-22,Spain,4946,324,24926,1326
6308,2020-03-23,Spain,3646,394,28572,1720
6309,2020-03-24,Spain,4517,462,33089,2182
6310,2020-03-25,Spain,6584,514,39673,2696
6311,2020-03-26,Spain,7937,738,47610,3434
6312,2020-03-27,Spain,8578,655,56188,4089
6313,2020-03-28,Spain,7871,769,64059,4858
