,date,location,new_cases,new_deaths,total_cases,total_deaths
6314,2019-12-31,Sri Lanka,0,0,0,0
6315,2020-01-01,Sri Lanka,0,0,0,0
6316,2020-01-02,Sri Lanka,0,0,0,0
6317,2020-01-03,Sri Lanka,0,0,0,0
6318,2020-01-04,Sri Lanka,0,0,0,0
6319,2020-01-05,Sri Lanka,0,0,0,0
6320,2020-01-06,Sri Lanka,0,0,0,0
6321,2020-01-07,Sri Lanka,0,0,0,0
6322,2020-01-08,Sri Lanka,0,0,0,0
6323,2020-01-09,Sri Lanka,0,0,0,0
6324,2020-01-10,Sri Lanka,0,0,0,0
6325,2020-01-11,Sri Lanka,0,0,0,0
6326,2020-01-12,Sri Lanka,0,0,0,0
6327,2020-01-13,Sri Lanka,0,0,0,0
6328,2020-01-14,Sri Lanka,0,0,0,0
6329,2020-01-15,Sri Lanka,0,0,0,0
6330,2020-01-16,Sri Lanka,0,0,0,0
6331,2020-01-17,Sri Lanka,0,0,0,0
6332,2020-01-18,Sri Lanka,0,0,0,0
6333,2020-01-19,Sri Lanka,0,0,0,0
6334,2020-01-20,Sri Lanka,0,0,0,0
6335,2020-01-21,Sri Lanka,0,0,0,0
6336,2020-01-22,Sri Lanka,0,0,0,0
6337,2020-01-23,Sri Lanka,0,0,0,0
6338,2020-01-24,Sri Lanka,0,0,0,0
6339,2020-01-25,Sri Lanka,0,0,0,0
6340,2020-01-26,Sri Lanka,0,0,0,0
6341,2020-01-27,Sri Lanka,0,0,0,0
6342,2020-01-28,Sri Lanka,1,0,1,0
6343,2020-01-29,Sri Lanka,0,0,1,0
6344,2020-01-30,Sri Lanka,0,0,1,0
6345,2020-01-31,Sri Lanka,0,0,1,0
6346,2020-02-01,Sri Lanka,0,0,1,0
6347,2020-02-02,Sri Lanka,0,0,1,0
6348,2020-02-03,Sri Lanka,0,0,1,0
6349,2020-02-04,Sri Lanka,0,0,1,0
6350,2020-02-05,Sri Lanka,0,0,1,0
6351,2020-02-06,Sri Lanka,0,0,1,0
6352,2020-02-07,Sri Lanka,0,0,1,0
6353,2020-02-08,Sri Lanka,0,0,1,0
6354,2020-02-09,Sri Lanka,0,0,1,0
6355,2020-02-10,Sri Lanka,0,0,1,0
6356,2020-02-11,Sri Lanka,0,0,1,0
6357,2020-02-12,Sri Lanka,0,0,1,0
6358,2020-02-13,Sri Lanka,0,0,1,0
6359,2020-02-14,Sri Lanka,0,0,1,0
6360,2020-02-15,Sri Lanka,0,0,1,0
6361,2020-02-16,Sri Lanka,0,0,1,0
6362,2020-02-17,Sri Lanka,0,0,1,0
6363,2020-02-18,Sri Lanka,0,0,1,0
6364,2020-02-19,Sri Lanka,0,0,1,0
6365,2020-02-20,Sri Lanka,0,0,1,0
6366,2020-02-21,Sri Lanka,0,0,1,0
6367,2020-02-22,Sri Lanka,0,0,1,0
6368,2020-02-23,Sri Lanka,0,0,1,0
6369,2020-02-24,Sri Lanka,0,0,1,0
6370,2020-02-25,Sri Lanka,0,0,1,0
6371,2020-02-26,Sri Lanka,0,0,1,0
6372,2020-02-27,Sri Lanka,0,0,1,0
6373,2020-02-28,Sri Lanka,0,0,1,0
6374,2020-02-29,Sri Lanka,0,0,1,0
6375,2020-03-01,Sri Lanka,0,0,1,0
6376,2020-03-02,Sri Lanka,0,0,1,0
6377,2020-03-12,Sri Lanka,1,0,2,0
6378,2020-03-13,Sri Lanka,1,0,3,0
6379,2020-03-14,Sri Lanka,3,0,6,0
6380,2020-03-15,Sri Lanka,5,0,11,0
6381,2020-03-16,Sri Lanka,8,0,19,0
6382,2020-03-17,Sri Lanka,10,0,29,0
6383,2020-03-18,Sri Lanka,13,0,42,0
6384,2020-03-19,Sri Lanka,0,0,42,0
6385,2020-03-20,Sri Lanka,11,0,53,0
6386,2020-03-21,Sri Lanka,13,0,66,0
6387,2020-03-22,Sri Lanka,12,0,78,0
6388,2020-03-23,Sri Lanka,9,0,87,0
6389,2020-03-24,Sri Lanka,10,0,97,0
6390,2020-03-25,Sri Lanka,5,0,102,0
6391,2020-03-26,Sri Lanka,0,0,102,0
6392,2020-03-27,Sri Lanka,4,0,106,0
6393,2020-03-28,Sri Lanka,0,0,106,0
