,date,location,new_cases,new_deaths,total_cases,total_deaths
6418,2020-03-15,Swaziland,1,0,1,0
6419,2020-03-16,Swaziland,0,0,1,0
6420,2020-03-17,Swaziland,0,0,1,0
6421,2020-03-18,Swaziland,0,0,1,0
6422,2020-03-19,Swaziland,0,0,1,0
6423,2020-03-20,Swaziland,0,0,1,0
6424,2020-03-21,Swaziland,0,0,1,0
6425,2020-03-22,Swaziland,0,0,1,0
6426,2020-03-23,Swaziland,3,0,4,0
6427,2020-03-24,Swaziland,0,0,4,0
6428,2020-03-25,Swaziland,0,0,4,0
6429,2020-03-26,Swaziland,0,0,4,0
6430,2020-03-27,Swaziland,2,0,6,0
6431,2020-03-28,Swaziland,3,0,9,0
