,date,location,new_cases,new_deaths,total_cases,total_deaths
6521,2019-12-31,Switzerland,0,0,0,0
6522,2020-01-01,Switzerland,0,0,0,0
6523,2020-01-02,Switzerland,0,0,0,0
6524,2020-01-03,Switzerland,0,0,0,0
6525,2020-01-04,Switzerland,0,0,0,0
6526,2020-01-05,Switzerland,0,0,0,0
6527,2020-01-06,Switzerland,0,0,0,0
6528,2020-01-07,Switzerland,0,0,0,0
6529,2020-01-08,Switzerland,0,0,0,0
6530,2020-01-09,Switzerland,0,0,0,0
6531,2020-01-10,Switzerland,0,0,0,0
6532,2020-01-11,Switzerland,0,0,0,0
6533,2020-01-12,Switzerland,0,0,0,0
6534,2020-01-13,Switzerland,0,0,0,0
6535,2020-01-14,Switzerland,0,0,0,0
6536,2020-01-15,Switzerland,0,0,0,0
6537,2020-01-16,Switzerland,0,0,0,0
6538,2020-01-17,Switzerland,0,0,0,0
6539,2020-01-18,Switzerland,0,0,0,0
6540,2020-01-19,Switzerland,0,0,0,0
6541,2020-01-20,Switzerland,0,0,0,0
6542,2020-01-21,Switzerland,0,0,0,0
6543,2020-01-22,Switzerland,0,0,0,0
6544,2020-01-23,Switzerland,0,0,0,0
6545,2020-01-24,Switzerland,0,0,0,0
6546,2020-01-25,Switzerland,0,0,0,0
6547,2020-01-26,Switzerland,0,0,0,0
6548,2020-01-27,Switzerland,0,0,0,0
6549,2020-01-28,Switzerland,0,0,0,0
6550,2020-01-29,Switzerland,0,0,0,0
6551,2020-01-30,Switzerland,0,0,0,0
6552,2020-01-31,Switzerland,0,0,0,0
6553,2020-02-01,Switzerland,0,0,0,0
6554,2020-02-02,Switzerland,0,0,0,0
6555,2020-02-03,Switzerland,0,0,0,0
6556,2020-02-04,Switzerland,0,0,0,0
6557,2020-02-05,Switzerland,0,0,0,0
6558,2020-02-06,Switzerland,0,0,0,0
6559,2020-02-07,Switzerland,0,0,0,0
6560,2020-02-08,Switzerland,0,0,0,0
6561,2020-02-09,Switzerland,0,0,0,0
6562,2020-02-10,Switzerland,0,0,0,0
6563,2020-02-11,Switzerland,0,0,0,0
6564,2020-02-12,Switzerland,0,0,0,0
6565,2020-02-13,Switzerland,0,0,0,0
6566,2020-02-14,Switzerland,0,0,0,0
6567,2020-02-15,Switzerland,0,0,0,0
6568,2020-02-16,Switzerland,0,0,0,0
6569,2020-02-17,Switzerland,0,0,0,0
6570,2020-02-18,Switzerland,0,0,0,0
6571,2020-02-19,Switzerland,0,0,0,0
6572,2020-02-20,Switzerland,0,0,0,0
6573,2020-02-21,Switzerland,0,0,0,0
6574,2020-02-22,Switzerland,0,0,0,0
6575,2020-02-23,Switzerland,0,0,0,0
6576,2020-02-24,Switzerland,0,0,0,0
6577,2020-02-25,Switzerland,0,0,0,0
6578,2020-02-26,Switzerland,1,0,1,0
6579,2020-02-27,Switzerland,0,0,1,0
6580,2020-02-28,Switzerland,7,0,8,0
6581,2020-02-29,Switzerland,4,0,12,0
6582,2020-03-01,Switzerland,6,0,18,0
6583,2020-03-02,Switzerland,6,0,24,0
6584,2020-03-03,Switzerland,6,0,30,0
6585,2020-03-04,Switzerland,7,0,37,0
6586,2020-03-05,Switzerland,20,0,57,0
6587,2020-03-06,Switzerland,30,1,87,1
6588,2020-03-07,Switzerland,122,0,209,1
6589,2020-03-08,Switzerland,55,0,264,1
6590,2020-03-09,Switzerland,68,1,332,2
6591,2020-03-10,Switzerland,42,0,374,2
6592,2020-03-11,Switzerland,116,1,490,3
6593,2020-03-12,Switzerland,152,1,642,4
6594,2020-03-13,Switzerland,212,0,854,4
6595,2020-03-14,Switzerland,267,3,1121,7
6596,2020-03-15,Switzerland,238,4,1359,11
6597,2020-03-16,Switzerland,841,2,2200,13
6598,2020-03-17,Switzerland,0,1,2200,14
6599,2020-03-18,Switzerland,450,5,2650,19
6600,2020-03-19,Switzerland,360,2,3010,21
6601,2020-03-20,Switzerland,878,12,3888,33
6602,2020-03-21,Switzerland,952,10,4840,43
6603,2020-03-22,Switzerland,1237,13,6077,56
6604,2020-03-23,Switzerland,894,4,6971,60
6605,2020-03-24,Switzerland,1044,6,8015,66
6606,2020-03-25,Switzerland,774,20,8789,86
6607,2020-03-26,Switzerland,925,17,9714,103
6608,2020-03-27,Switzerland,1000,58,10714,161
6609,2020-03-28,Switzerland,1390,36,12104,197
