,date,location,new_cases,new_deaths,total_cases,total_deaths
6715,2019-12-31,Thailand,0,0,0,0
6716,2020-01-01,Thailand,0,0,0,0
6717,2020-01-02,Thailand,0,0,0,0
6718,2020-01-03,Thailand,0,0,0,0
6719,2020-01-04,Thailand,0,0,0,0
6720,2020-01-05,Thailand,0,0,0,0
6721,2020-01-06,Thailand,0,0,0,0
6722,2020-01-07,Thailand,0,0,0,0
6723,2020-01-08,Thailand,0,0,0,0
6724,2020-01-09,Thailand,0,0,0,0
6725,2020-01-10,Thailand,0,0,0,0
6726,2020-01-11,Thailand,0,0,0,0
6727,2020-01-12,Thailand,0,0,0,0
6728,2020-01-13,Thailand,1,0,1,0
6729,2020-01-14,Thailand,0,0,1,0
6730,2020-01-15,Thailand,0,0,1,0
6731,2020-01-16,Thailand,0,0,1,0
6732,2020-01-17,Thailand,1,0,2,0
6733,2020-01-18,Thailand,0,0,2,0
6734,2020-01-19,Thailand,0,0,2,0
6735,2020-01-20,Thailand,0,0,2,0
6736,2020-01-21,Thailand,0,0,2,0
6737,2020-01-22,Thailand,2,0,4,0
6738,2020-01-23,Thailand,0,0,4,0
6739,2020-01-24,Thailand,0,0,4,0
6740,2020-01-25,Thailand,1,0,5,0
6741,2020-01-26,Thailand,0,0,5,0
6742,2020-01-27,Thailand,3,0,8,0
6743,2020-01-28,Thailand,6,0,14,0
6744,2020-01-29,Thailand,0,0,14,0
6745,2020-01-30,Thailand,0,0,14,0
6746,2020-01-31,Thailand,0,0,14,0
6747,2020-02-01,Thailand,5,0,19,0
6748,2020-02-02,Thailand,0,0,19,0
6749,2020-02-03,Thailand,0,0,19,0
6750,2020-02-04,Thailand,0,0,19,0
6751,2020-02-05,Thailand,6,0,25,0
6752,2020-02-06,Thailand,0,0,25,0
6753,2020-02-07,Thailand,0,0,25,0
6754,2020-02-08,Thailand,7,0,32,0
6755,2020-02-09,Thailand,0,0,32,0
6756,2020-02-10,Thailand,0,0,32,0
6757,2020-02-11,Thailand,0,0,32,0
6758,2020-02-12,Thailand,1,0,33,0
6759,2020-02-13,Thailand,0,0,33,0
6760,2020-02-14,Thailand,0,0,33,0
6761,2020-02-15,Thailand,1,0,34,0
6762,2020-02-16,Thailand,0,0,34,0
6763,2020-02-17,Thailand,0,0,34,0
6764,2020-02-18,Thailand,1,0,35,0
6765,2020-02-19,Thailand,0,0,35,0
6766,2020-02-20,Thailand,0,0,35,0
6767,2020-02-21,Thailand,0,0,35,0
6768,2020-02-22,Thailand,0,0,35,0
6769,2020-02-23,Thailand,0,0,35,0
6770,2020-02-24,Thailand,0,0,35,0
6771,2020-02-25,Thailand,2,0,37,0
6772,2020-02-26,Thailand,3,0,40,0
6773,2020-02-27,Thailand,0,0,40,0
6774,2020-02-28,Thailand,0,0,40,0
6775,2020-02-29,Thailand,2,0,42,0
6776,2020-03-01,Thailand,0,1,42,1
6777,2020-03-02,Thailand,1,0,43,1
6778,2020-03-05,Thailand,4,0,47,1
6779,2020-03-07,Thailand,3,0,50,1
6780,2020-03-11,Thailand,9,0,59,1
6781,2020-03-12,Thailand,11,0,70,1
6782,2020-03-14,Thailand,12,0,82,1
6783,2020-03-15,Thailand,0,0,82,1
6784,2020-03-16,Thailand,32,0,114,1
6785,2020-03-17,Thailand,63,0,177,1
6786,2020-03-18,Thailand,0,0,177,1
6787,2020-03-19,Thailand,0,0,177,1
6788,2020-03-20,Thailand,35,0,212,1
6789,2020-03-21,Thailand,154,0,366,1
6790,2020-03-22,Thailand,233,0,599,1
6791,2020-03-23,Thailand,122,0,721,1
6792,2020-03-24,Thailand,106,3,827,4
6793,2020-03-25,Thailand,107,0,934,4
6794,2020-03-26,Thailand,111,0,1045,4
6795,2020-03-27,Thailand,91,1,1136,5
6796,2020-03-28,Thailand,0,0,1136,5
